addr:housenumber,payment:cash,contact:twitter,entrance,addr:street,drink,name:he,level,layer,guest_house,coffee,name:en,reservation,payment:notes,museum,service:bicycle:pump,article,roof:shape,memorial,internet_access:fee,name:de,payment:lightning,survey:date,title,addr:city,comment,lgbtq,tollFree,brand,contact:facebook,accessibility,description,latitude,disused:shop,name:ru,brand:wikipedia,source,addr:housename,common_tags,wikipedia,image,designation,brand:wikidata,wheelchair,checkIn,source:date,directions,name,description:ru,lastEdit,wheelchair:description,addr:postcode,contact:tripadvisor,official_name,last_checked,second_hand,rooms,denomination,changing_table:wheelchair,address,checkOut,note,wheelchair:description:de,disused:tourism,wikidata,email,ref:rce,heritage,surveillance,check_date:opening_hours,takeaway,start_date,historic,check_date,stroller,cuisine,beauty,craft_beer,payment:credit_cards,payment:onchain,addr:country,name:zh,shop,building:architecture,wikimedia_commons,religion,wifi,alt_name,unisex,contact:website,longitude,toilets:wheelchair,name:ko,name:lb,sport,contact:instagram,name:es,brewery,landuse,highchair,ref:bag,hours,drink:club-mate,stars,contact:phone,changing_table,toilets,url,name:da,changing_table:location,internet_access,alt,name:uk,atm,fax,name:nl,smoking,heritage:operator,drive_through,toilets:access,opening_hours,name:ml,currency:XBT,operator,type,payment:coins,air_conditioning,delivery,bicycle_rental,landmark,building:levels,phone,contact:email,amenity,access,int_name,old_name,price,website,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning.1,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,,,,,,,,,,,,amsterdam,,,,,,,macbike,,,,,,,,perhaps the most ubiquitous bicycle rental agency in amsterdam their bicycle be paint red with a macbike sign on the front everyone will know youre visit the bicycle be reliable and in a good condition several location around the city center for assistance or repair online bicycle reservation at their website,,,,,,,,,,,,,,,tram or metro to centraal station,,,,,,,,,,,,,stationsplein 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 hour daily,,,,,,httpwwwmacbikenl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6253845,,,,,,€750 3 hr €975 24 hr every day extra €6,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,orangebike,,,,,,,,their bike be not so obviously color more discrete reliable and sturdy the typical dutch granny bike be available online reservation can be make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infoorangebikenl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09001800 daily,,,,,,httpwwworangebikenl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 3541781,,,,,,€5 1 hr €650 3 hr €950 day till 1800 €11 24 hr €1750 2 day,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,rent a bike damstraat,,,,,,,,daily to weekly rental they have promotion in place with several hotel for discount ticket ask at the front desk offer repair for your bike and also have new and use bike sale,,,,,,,,,,,,,,,tram 4 9 16 or 24 to dam,,,,,,,,,,,,,damstraat 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09001800 daily,,,,,,httpwwwrentabikenl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6255029,,,,,,€1250 for the first 24 hr insurance include,,,no,,,,,,,medium,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,star bike rental,,,,,,,,classic and solid dutch bike for those who want to fit in with the local they have the traditional black granny pickup tandem bike for kid and for disabled need you can also arrange exclusive picnic and barbecue set within your rental,,,,,,,,,,,,,,,tram or metro to centraal station,,,,,,,,,,,,,de ruyterkade 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mf 08001900 sa su 09001900,,,,,,httpwwwstarbikesrentalcom,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6203215,,,,,,€5 4 hr €7 a day or €9 24 hr 2 locker include,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,ovfiets,,,,,,,,this cycle hire service run by dutch railway n be mostly use by dutch resident a a dutch bank account be require for the yearly subscription also an ovchipkaart be need if you manage to obtain these it a very good option due to it ubiquity and low cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,any amsterdam train station except holendrecht and science park plus other location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwovfietsnl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,€10 per year subscription plus €315 per 24 hr usage,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,universiteit van amsterdam,,,,,,,,found a the athenaeum illustre in 1632 in 1877 it become the university of amsterdam with about 25000 student the uva be on three separate campus in the city center and many small site scatter over amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwuvanl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,volksuniversiteit,,,,,,,,despite the name it be not a university but a venerable institute for public education among the many course be dutch language course for foreigner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvolksuniversiteitamsterdamnl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,vrije universiteit,,,,,,,,found in 1880 the vu campus be locate southwest of the city centre and approximately 20 minute away by bicycle it be the only protestant general university in the netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvunl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,amsterdam spoke,,,,,,,,an english magazine feature amsterdam daily life it ambiance and trend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamspokecom,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,time out amsterdam,,,,,,,,the monthly bible for what be go on in town can be purchase all over town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwtimeoutamsterdamnl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,uitkrant,,,,,,,,a free monthly magazine listing all concert classical jazz pop etc exhibition museum and anything cultural to do in amsterdam it can be picked up at many spot in the city eg at the uitburo at the leidseplein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamsuitburonlextrauitkrant,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,basiliek van de heilige nicolaas,,,,,,,,,,,,,,,,,,,,,,,tram or metro centraal station,,,,,,,,,,,,,prins hendrikkade 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eucharist su 1030 dutch 1300 spanish low mass m w th sa 1230 dutch tu 1230 english f 1230 spanish,,,,,,httpwwwnicolaasparochienl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6248749,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,begijnhofkapel,,,,,,,,roman catholic chapel at the begijnhof officially know a the hh johannes en ursulakapel,,,,,,,,,,,,,,,tram 1 2 or 5 to spui,,,,,,,,,,,,,begijnhof 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eucharist mf 0900 and 1700 sa 0900 su 1000 all dutch and 1115 french,,,,,,httpwwwbegijnhofamsterdamnl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6221918,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,de krijtberg,,,,,,,,officially st franciscus xaveriuskerk,,,,,,,,,,,,,,,tram 1 2 or 5 to koningsplein,,,,,,,,,,,,,singel 448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eucharist msa 1230 1745 su 1230 1715 all dutch high mass su 0930 1100 latin,,,,,,httpwwwkrijtbergnl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6231923,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,de papegaai,,,,,,,,officially the hh petrus en pauluskerk,,,,,,,,,,,,,,,tram 1 2 or 5 to dam,,,,,,,,,,,,,kalverstraat 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low mass msa 1030 dutch high mass su 1030 latin 1215 latin,,,,,,httpwwwnicolaasparochienl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,english reform church,,,,,,,,a reform church lead by a presbyterian church of scotland minister an english speak congregation at the begijnhof,,,,,,,,,,,,,,,tram 1 2 or 5 to spui,,,,,,,,,,,,,begijnhof 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunday worship at 1030 english,,,,,,httpwwwercadamnl,,,,engelse hervormde kerk,,,,,,,,,,,,,other,,,,,,,31 20 6249665,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,the lady of all nation,,,,,,,,mass time be subject to change call to be certain,,,,,,,,,,,,,,,near the rai convention center,,,,,,,,,,,,,diepenbrockstraat 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy mass m w f sa 1215 tu 0715 th 1830 su 930 1115 all dutch,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6620504,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,onze lieve vrouwekerk,,,,,,,,,,,,,,,,,,,,,,,tram 6 13 14 17 or bus 21 170 172 to westermarkt,,,,,,,,,,,,,keizersgracht 220,,,,,,infoolvkerknl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy mass sa 1900 dutch su 1115 dutch 1800 english,,,,,,httpwwwamsterdamonzelievevrouwnl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,oudkatholieke kerk amsterdam,,,,,,,,a dutch denomination in communion with the church of england anglican,,,,,,,,,,,,,,,tram 16 or 24 to ruysdaelstraat,,,,,,,,,,,,,ruysdaelstraat 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eucharist su 1000 dutch,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6628313,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,parish of the bless trinity,,,,,,,,,,,,,,,,,,,,,,,tram 9 to brinkstraat,,,,,,,,,,,,,zaaiersweg 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mass su 1030 and 1200 both english,,,,,,httpwwwblessedtrinitynl,,,,,,,,,,,,,,,,,other,,,,,,,31 20 4652711,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,bijlmermonument,,,,,,,,in 1992 a boeing 747f jumbo freighter crashed into two flat in the bijlmer this be a monument to the people on the ground who die or lose their house in the disaster 39 resident be know to have die but due to the large number of unregistered illegal immigrant living in the cellar of the flat at the time which be completely incinerate in the crash it be possible that more die than could officially be account for the monument be design by architect herman hertzberger and be built around a tree that survive the crash with the name of the know victim and mosaic laid by survivor the foundation of the destroyed building be also still visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,nellesteinplad amsterdamzuidoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwbuitenbeeldinbeeldnlamsterdamzobijlmermonumenthtm,,,,,,,,,,,,,,,,,see,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,amsterdam arena,,,,,,,,the amsterdam arena built from 1993 to 1996 and with a capacity of 51628 seat during sport match be home to the most successful football club in the netherlands ajax the arena can hold up to 68000 people during concert and regularly hold popular music event in past many well know artist have perform hereajax offer multiple daily tour through the amsterdam arena stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamarenanltourshtm,,,,,,,,,,,,,,,,,see,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,kam yin chinees surinaams restaurant,,,,,,,,surinameseindonesian cuisine very good moksi meti marinate pork and sausage with noodle popular with the local takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,bijlmerplein 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eat,,,,,,,31 20 4095888,,,,,,7€,,dinner,no,,,,,,casual,cheap,,,,,,,,,,,
1006,,,,bijlmerplein,,,,,,,,,,,,amsterdamzuidoost,,,,,,,lebkov son,amsterdam,,,,,,,sandwich bar mainly caters to office worker in surround building try the hummus sundried tomato,52.312732,,,,bag,,x x yes 2234 limited 983 no 881,,,,,yes,,20140507,,arena broodjes,,,,1102ml,,,,,,,,hoekenrode 6 1102br amsterdam,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,,4.949238,,,,,,,,,,,,,,,,,httpswwwlebkovnlvestigingenlebkovamsterdam,,,,,,,,,,,,,,,,,eat,,,,,,,31 20 3650037,,,,,,3€,,lunch,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,lomnava kenkey house,,,,,,,,possibly the only ghanaian snack bar in amsterdam specializes in kenkey a sort of sourdough dumpling but have a wide range of westafrican cuisine at very reasonable price,52.309048,,,,,,x x,,,,,,,,no house number visible look for the shack with prominent ghanaian flag in front of the hogevecht flat,,,,,,,,,,,,,karspeldreef 1102bx amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.958306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eat,,,,,,,,,,,,,7€,,,no,,,,,,casual,cheap,,,,,,,,,,,
5,,,,hoekenrode,,,,,,,,,,,,amsterdamzuidoost,,,,,,,marmaris grill pizza,amsterdam,,,,,,,relatively upmarket turkishmediterranean restaurant in fancy new building opposite station bijlmerarena great food presentation and service definitely worth the price on cold day avoid sit anywhere near the door a it frequently fails to close properly,52.3128948,,,,bag,,x x yes 217 no 4 x x yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 x yes 2234 limited 983 no 881,,,,,,,20140507,,marmaris grill pizza,,,,1102br,,,,,,,,hoekenrode 5 1102br amsterdam,,,,,,,,,,,,,,,,turkish,,,,,,,,,,,,,,,4.9490031,,,,,,,,,,,,,,,,,httpwwwmarmarisgrillenpizzanl,,,,,,,,,,,,,mosu 10302400,,,,eat,,,,,,,31 20 697 3641,,restaurant,,,,14€,httpwwwmarmarisgrillenpizzanl,dinner,no,,,,,,chic,cheap,,,,,,,,,,indoor and outdoor,
3,,,,heesterveld,,,,,,,,,,,,amsterdamzuidoost,,,,,,,oma ietje,amsterdam,,,,,,,inevitably hipster have even found their way into the bijlmer partfunded by crowdfunding very worthy swedish style coffee house exquisite coffee biological lemonade and delicious cake also showcase art by local artist worth a visit particularly if youre stay at the ao hostel just on the other side of the metro line,52.306396,,,,,,x x yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 x,,,,,,,,,oma ietje,,,,,,,,,,,,heesterveld 3 1102sb amsterdam,,,,,,infoomaietjenl,,,,,,,,,,,,,,,,,,,,,,,,,4.95379,,,,,,,,,,,0800 – 1700 thufri 0800 2000,,,,,,httpomaietjenl,,,,,,,,,,,,,,,,,eat,,,,,,,31 20 2338150,,cafe,,,,5€,httpsomaietjenl,,no,,,,,,hipster,cheap,,,,,,,,,,outdoor,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,t pleintje,,,,,,,,locate just off the bijlmerdreef near metro ganzenhoef 53 this be one of only two legal bar in the northeastern quadrant of bijlmer and so serf maybe twenty thousand inhabitant although the building be very new the decoration be typically bruin cafe clientele be incredibly mixed everything from rastafarian inevitably outside smoking pot to old amsterdammers youd expect to find in the jordaan close at 18h,,,,,,,,,,,,,,,,,,,,,,,,,,,,harriet freezerstraat 104 1103jp amsterdamzuidoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,,,no,,,,beer,none,casual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,gaasper camp amsterdam,,,,,,,,the capital large campsite,,,,,,,,,,,,,,,twenty minute from the centre of amsterdam be the gaasperpark on the gaasperplas gaasper lake 5 minute walk to the metro station gaasperplas,,,,,,,,,,,,,loosdrecht 7 1108 az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwgaaspercampingamsterdamnl,,,,,,,,,,,,,,,,,sleep,,,,,,,,,campsite,,,,,,,no,,,size large private bath possible air conditioning possible kitchen possible number of bed multiple tv possible view possible,,,,,,,,,city view,,,,large,,
22,,,,hogehilweg,,,,,,,,,,,,amsterdamzuidoost,,,no,,,,ao amsterdam zuidoost,amsterdam,,,,,,,hostel immediately adjacent to metro station bullewijk 5 min walk from train station amsterdam bijlmerarena free wifi free parking no curfew this hostel be the large in amsterdam open early 2015 in a completely renovate former office building new clean and very popular be spearhead the revitalization of this part of town location be logistically perfect less than 20 min doortodoor from schiphol airport near major train station and the junction between major motorway lead into amsterdam and with an excellent metro connection into the center of town only drawback be that there isnt much to do in the immediate vicinity and that the metro doesnt run at night fortunately amsterdam night bus do run every night and stop at amsterdam bijlmerarena 5 min walk away,52.307066,,,,bag,,wlan 431 yes 64 no 20 x no 149 outside 100 isolated 7 separate 7 dedicate 3 yes 1 x x yes 2234 limited 983 no 881,,,,,,1500,20140507,,ao amsterdam zuidoost,,,room be stepfree but ensuite toilet be not accessible,1101cd,,,,,,,,hogehilweg 22 1102 cd,1000,,,,,,,,,,,1984.0,,,,,,,,,,,,,,,,,,,4.949838,yes,,,,,,,,,363100012139250.0,,,,,,,httpwwwaohostelscomenamsterdamamsterdamzuidoost,,,yes,,,,,,no,,,,,,,,sleep,,,,,,,,,hostel,,,,,httpswwwaohostelscomenamsterdamamsterdamzuidoost,,no,,clean,base on the description the possible room facility in this hostel be free wifi free parking air conditioning private bath assume tv assume number bed not specify size not specify,,,,,,,no,,,,,,large,,
,,,,,,,,,,,,,,,,amsterdamzuidoost,,,,,,,campanile hotel amsterdam,,,,,,,,3 star hotel 1 minute walk from metro station gaasperplas free wifi free parking,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,loosdrechtdreef 3 1108 ax,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwcampanilecom,,,,,,,,,,,,,,,,,sleep,,,,,,,,,hotel,,,,,,,no,,,free wifi free parking,,,,,,,,,,,,,,,
