addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,amenity.1,brand.1,check_date,cuisine.1,name.1,opening_hours.1,shop.1,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,macbike,,,perhaps the most ubiquitous bicycle rental agency in amsterdam their bicycle be paint red with a macbike sign on the front everyone will know youre visit the bicycle be reliable and in a good condition several location around the city center for assistance or repair online bicycle reservation at their website,,,,,,,,,,,stationsplein 33,,,,,,,,,,,24 hour daily,,,,httpwwwmacbikenl,,,,,other,31 20 6253845,,,€750 3 hr €975 24 hr every day extra €6,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,orangebike,,,their bike be not so obviously color more discrete reliable and sturdy the typical dutch granny bike be available online reservation can be make,,,,,,,,,,,,,,,,,,,,,,09001800 daily,,,,httpwwworangebikenl,,,,,other,31 20 3541781,,,€5 1 hr €650 3 hr €950 day till 1800 €11 24 hr €1750 2 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,rent a bike damstraat,,,daily to weekly rental they have promotion in place with several hotel for discount ticket ask at the front desk offer repair for your bike and also have new and use bike sale,,,,,,,,,,,damstraat 2022,,,,,,,,,,,09001800 daily,,,,httpwwwrentabikenl,,,,,other,31 20 6255029,,,€1250 for the first 24 hr insurance include,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,star bike rental,,,classic and solid dutch bike for those who want to fit in with the local they have the traditional black granny pickup tandem bike for kid and for disabled need you can also arrange exclusive picnic and barbecue set within your rental,,,,,,,,,,,de ruyterkade 127,,,,,,,,,,,mf 08001900 sa su 09001900,,,,httpwwwstarbikesrentalcom,,,,,other,31 20 6203215,,,€5 4 hr €7 a day or €9 24 hr 2 locker include,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,ovfiets,,,this cycle hire service run by dutch railway n be mostly use by dutch resident a a dutch bank account be require for the yearly subscription also an ovchipkaart be need if you manage to obtain these it a very good option due to it ubiquity and low cost,,,,,,,,,,,any amsterdam train station except holendrecht and science park plus other location,,,,,,,,,,,,,,,httpwwwovfietsnl,,,,,other,,,,€10 per year subscription plus €315 per 24 hr usage,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,universiteit van amsterdam,,,found a the athenaeum illustre in 1632 in 1877 it become the university of amsterdam with about 25000 student the uva be on three separate campus in the city center and many small site scatter over amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwuvanl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,volksuniversiteit,,,despite the name it be not a university but a venerable institute for public education among the many course be dutch language course for foreigner,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvolksuniversiteitamsterdamnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,vrije universiteit,,,found in 1880 the vu campus be locate southwest of the city centre and approximately 20 minute away by bicycle it be the only protestant general university in the netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvunl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam spoke,,,an english magazine feature amsterdam daily life it ambiance and trend,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamspokecom,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,time out amsterdam,,,the monthly bible for what be go on in town can be purchase all over town,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwtimeoutamsterdamnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,uitkrant,,,a free monthly magazine listing all concert classical jazz pop etc exhibition museum and anything cultural to do in amsterdam it can be picked up at many spot in the city eg at the uitburo at the leidseplein,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamsuitburonlextrauitkrant,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,basiliek van de heilige nicolaas,,,,,,,,,,,,,,prins hendrikkade 73,,,,,,,,,,,eucharist su 1030 dutch 1300 spanish low mass m w th sa 1230 dutch tu 1230 english f 1230 spanish,,,,httpwwwnicolaasparochienl,,,,,other,31 20 6248749,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,begijnhofkapel,,,roman catholic chapel at the begijnhof officially know a the hh johannes en ursulakapel,,,,,,,,,,,begijnhof 29,,,,,,,,,,,eucharist mf 0900 and 1700 sa 0900 su 1000 all dutch and 1115 french,,,,httpwwwbegijnhofamsterdamnl,,,,,other,31 20 6221918,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,de krijtberg,,,officially st franciscus xaveriuskerk,,,,,,,,,,,singel 448,,,,,,,,,,,eucharist msa 1230 1745 su 1230 1715 all dutch high mass su 0930 1100 latin,,,,httpwwwkrijtbergnl,,,,,other,31 20 6231923,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,de papegaai,,,officially the hh petrus en pauluskerk,,,,,,,,,,,kalverstraat 58,,,,,,,,,,,low mass msa 1030 dutch high mass su 1030 latin 1215 latin,,,,httpwwwnicolaasparochienl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,english reform church,,,a reform church lead by a presbyterian church of scotland minister an english speak congregation at the begijnhof,,,,,,,,,,,begijnhof 48,,,,,,,,,,,sunday worship at 1030 english,,,,httpwwwercadamnl,,engelse hervormde kerk,,,other,31 20 6249665,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,the lady of all nation,,,mass time be subject to change call to be certain,,,,,,,,,,,diepenbrockstraat 3,,,,,,,,,,,holy mass m w f sa 1215 tu 0715 th 1830 su 930 1115 all dutch,,,,,,,,,other,31 20 6620504,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,onze lieve vrouwekerk,,,,,,,,,,,,,,keizersgracht 220,,,,,,,,,,,holy mass sa 1900 dutch su 1115 dutch 1800 english,,,,httpwwwamsterdamonzelievevrouwnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,oudkatholieke kerk amsterdam,,,a dutch denomination in communion with the church of england anglican,,,,,,,,,,,ruysdaelstraat 39,,,,,,,,,,,eucharist su 1000 dutch,,,,,,,,,other,31 20 6628313,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,parish of the bless trinity,,,,,,,,,,,,,,zaaiersweg 180,,,,,,,,,,,mass su 1030 and 1200 both english,,,,httpwwwblessedtrinitynl,,,,,other,31 20 4652711,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,bijlmermonument,,,in 1992 a boeing 747f jumbo freighter crashed into two flat in the bijlmer this be a monument to the people on the ground who die or lose their house in the disaster 39 resident be know to have die but due to the large number of unregistered illegal immigrant living in the cellar of the flat at the time which be completely incinerate in the crash it be possible that more die than could officially be account for the monument be design by architect herman hertzberger and be built around a tree that survive the crash with the name of the know victim and mosaic laid by survivor the foundation of the destroyed building be also still visible,,,,,,,,,,,nellesteinplad amsterdamzuidoost,,,,,,,,,,,,,,,httpwwwbuitenbeeldinbeeldnlamsterdamzobijlmermonumenthtm,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam arena,,,the amsterdam arena built from 1993 to 1996 and with a capacity of 51628 seat during sport match be home to the most successful football club in the netherlands ajax the arena can hold up to 68000 people during concert and regularly hold popular music event in past many well know artist have perform hereajax offer multiple daily tour through the amsterdam arena stadium,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamarenanltourshtm,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,kam yin chinees surinaams restaurant,,,surinameseindonesian cuisine very good moksi meti marinate pork and sausage with noodle popular with the local takeaway,,,,,,,,,,,bijlmerplein 525,,,,,,,,,,,,,,,,,,,,eat,31 20 4095888,,,7€,,,,,,,,,dinner,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,lebkov son,,,sandwich bar mainly caters to office worker in surround building try the hummus sundried tomato,52.312732,,,,,,,,,,hoekenrode 6 1102br amsterdam,,,,,,,,,4.949238,,,,,,httpswwwlebkovnlvestigingenlebkovamsterdam,,,,,eat,31 20 3650037,,,3€,,,,,,,,,lunch,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,lomnava kenkey house,,,possibly the only ghanaian snack bar in amsterdam specializes in kenkey a sort of sourdough dumpling but have a wide range of westafrican cuisine at very reasonable price,52.309048,,,,,,,,,,karspeldreef 1102bx amsterdam,,,,,,,,,4.958306,,,,,,,,,,,eat,,,,7€,,,,,,,,,lunch,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,marmaris grill pizza,,,relatively upmarket turkishmediterranean restaurant in fancy new building opposite station bijlmerarena great food presentation and service definitely worth the price on cold day avoid sit anywhere near the door a it frequently fails to close properly,52.3128948,,,,,,,marmaris grill pizza,,,hoekenrode 5 1102br amsterdam,,,,turkish,,,,,4.9490031,,,,,,httpwwwmarmarisgrillenpizzanl,,,,mosu 10302400,eat,31 20 6973641,restaurant,,14€,httpwwwmarmarisgrillenpizzanl,restaurant,,,turkish,marmaris grill pizza,mosu 10302400,,dinner,3 star,,,,,,chic,cheap,,,,,,,,,,indoor and outdoor,
,,,,,oma ietje,,,inevitably hipster have even found their way into the bijlmer partfunded by crowdfunding very worthy swedish style coffee house exquisite coffee biological lemonade and delicious cake also showcase art by local artist worth a visit particularly if youre stay at the ao hostel just on the other side of the metro line,52.306396,,,,,,,oma ietje,,,heesterveld 3 1102sb amsterdam,,,,,,,,,4.95379,,0800 – 1700 thufri 0800 2000,,,,httpomaietjenl,,,,,eat,31 20 2338150,cafe,,5€,httpsomaietjenl,cafe,,,,oma ietje,,,brunch,3 star,,,,,,chic,cheap,,,,,,,,,,outdoor,
,,,,,t pleintje,,,locate just off the bijlmerdreef near metro ganzenhoef 53 this be one of only two legal bar in the northeastern quadrant of bijlmer and so serf maybe twenty thousand inhabitant although the building be very new the decoration be typically bruin cafe clientele be incredibly mixed everything from rastafarian inevitably outside smoking pot to old amsterdammers youd expect to find in the jordaan close at 18h,,,,,,,,,,,harriet freezerstraat 104 1103jp amsterdamzuidoost,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,beer,reggae,casual,,,,,,,,,,,,
,,,,,gaasper camp amsterdam,,,the capital large campsite,,,,,,,,,,,loosdrecht 7 1108 az,,,,,,,,,,,,,,,httpwwwgaaspercampingamsterdamnl,,,,,sleep,,campsite,,,,,,,,,,,,no,,,number of bed size view,,,,,,,,,city view,,,,large,,
,,,,,ao amsterdam zuidoost,,,hostel immediately adjacent to metro station bullewijk 5 min walk from train station amsterdam bijlmerarena free wifi free parking no curfew this hostel be the large in amsterdam open early 2015 in a completely renovate former office building new clean and very popular be spearhead the revitalization of this part of town location be logistically perfect less than 20 min doortodoor from schiphol airport near major train station and the junction between major motorway lead into amsterdam and with an excellent metro connection into the center of town only drawback be that there isnt much to do in the immediate vicinity and that the metro doesnt run at night fortunately amsterdam night bus do run every night and stop at amsterdam bijlmerarena 5 min walk away,52.307066,,,,,,1500,ao amsterdam zuidoost,,,hogehilweg 22 1102 cd,1000,,,,,,,,4.949838,,,,,,httpwwwaohostelscomenamsterdamamsterdamzuidoost,yes,,no,,sleep,,hostel,,,httpswwwaohostelscomenamsterdamamsterdamzuidoost,,,,,ao amsterdam zuidoost,,,,no,,clean,free wifi free parking air conditioning tv private bath number of bed size,,,,,,,,,,,,,large,,
,,,,,campanile hotel amsterdam,,,3 star hotel 1 minute walk from metro station gaasperplas free wifi free parking,,,,,,,1400,,,,loosdrechtdreef 3 1108 ax,1200,,,,,,,,,,,,,,httpwwwcampanilecom,,,,,sleep,,hotel,,,,,,,,,,,,no,,,free wifi free parking,,,,,,,,,,,,,,,
,,,,,tulip inn amsterdam riverside,,,3 star hotel 7 minute walk from metro station gaasperplas free parking 8 conference room restaurant bar open till 100 be,,,,,,,,,,,provincialeweg 38 1108 ab,,,,,,,,,,,,,,,httpwwwtulipinnamsterdamriversidenl,,,,,sleep,,hotel,,,,,,,,,,,,no,,,free parking restaurant bar conference room,,,,,yes,,,,,,yes,,,,
,,,,,magere brug,,,the magere brug literally skinny bridge be a bridge that span the amstel river and connects the kerkstraat with the nieuwe kerkstraat it an iconic bridge that consists of nine arch and a drawbridge that be still operate by hand the current bridge be make of whitepainted wood but it have be rebuilt several time and historically it have also be in concrete the first bridge here be built in 1691 but the current one date from 1934 it be one of the most photograph bridge of amsterdam especially at night because of the 1200 tiny light that make it look like a pictureperfect postcard,52.363587,,,,,yes,,ponte magro,,,,,,,,,,,,4.902373,,,,,,,,,,,see,,restaurant,,,,restaurant,,20230418,,ponte magro,,,,no,,,,,,,,,,,,,,,,,,
,,,,,anne frank house,,,the house where the jewish girl anne frank write her diary while hiding with her family from the nazi dont let the long line or maybe a very short line if youre lucky discourage you it move quickly and the experience inside the hiding place on the top floor be move the museum lack any exhibit to explain the historical context at the time of anne diary however go in the early even around 5pm to avoid any line or alternatively skip the line entirely by reserve ticket from the official website the anne frank house be open later during the summer museumkaart be valid i amsterdam card be not valid,52.37507,,,,,,,,,,prinsengracht 267,,,,,,,,,4.88414,,,,,,httpwwwannefrankorg,,anne frankhuis,,,see,31 20 556 71 00,,,€9,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,museum het grachtenhuis,,,het grachtenhuis be the gateway to the world famous canal district het grachtenhuis tell the fascinate story about how amsterdam canal district be create by a multimedia exhibition,52.36788,,,,,,,,,,herengracht 386,,,,,,,,,4.8863,,,,,,httpwwwhetgrachtenhuisnl,,the museum of the canal,,,see,,,,€12,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,cat cabinet,,,a cat museum house in a beautiful restore palatial home in an upscale area street very masterpiece theater it be open by the homeowner after his favourite cat die and he still life in the home lot of catrelated art and two real feline the exhibition be spread across the first floor of the house,52.36561,,,,,,,,,,herengracht 497,,,,,,,,,4.89156,,,,,,httpwwwkattenkabinetnlhtmlindexengelsdhtmlhtml,,kattenkabinet,,,see,31 20 626 53 78,,,€5,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,museum willetholthuysen,,,it be the only fully furnish canalside patrician house in amsterdam that be open to the public the museum have a large collection of silverware plate and book from the dutch golden age it also have a substantial collection of art,52.3656,,,,,,,,,,herengracht 605,,,,,,,,,4.89902,,mofr 10am5pm sasu 11am5pm,,,,httpwwwwilletholthuysennlen,,,,,see,31 20 523 18 22,,,€9,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam pipe museum,,,unique collection of smoking pipe in an authentic canal house from 1670 in the historic ambiance of the collector house his collection of pipe cover 2500 year be displayed visitor get a personal tour by enthusiast volunteer of the foundation that also run the speciality shop in the basement a huge selection of nearly 3000 modern briar pipe be for sale next to collectible and book on pipe and tobacco,52.36413,,,,,,,,,,prinsengracht 488,,,,,,,,,4.88535,,12001800,,,,httpwwwpipemuseumnl,,pijpenkabinet,,,see,31 20 4211779,,,8 €,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,museum van loon,,,17th century house with interior restore with furnishing to how it look in the 18th century also interest to see a garden you would not normally see form the street,52.363333,,,,,,,museum van loon,,,keizersgracht 672,,,,,,,,,4.892778,,,,,,httpwwwmuseumvanloonnlhome,,,,mosu 10001700,see,,,,,httpswwwmuseumvanloonnl,,,,,museum van loon,mosu 10001700,,,no,,,,,,,,,,,,,,,,,,
,,,,,westerkerk,,,built in 16201631 locate on westermarkt near the anne frank house you can climb the tower with guide only every half hour msa €6 the tower be also open in the winter by group appointment maximum 10 people for €70hr in good weather you can see all of amsterdam and a far a the coast free organ concert held every friday at 1300,52.37453,,,,,,,,,,,,,,,,,,,4.88395,,aprsep mf 11001500,,,,httpwwwwesterkerknl,,,,,see,31 20 624 77 66,,,free,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,homomonument,,,the homomonument be a memorial to gay and lesbian murder in world war ii a call for vigilance against homophobia and an inspiration for gay and lesbian the world over it consists of three equilateral triangle make of pink granite that be connect by an inlaid band of pink brick these three triangle represent the past present and future,52.37442,,,,,,,,,,westermarkt,,,,,,,,,4.88468,,,,,,httpwwwhomomonumentcom,,,,,see,31 20 551 2512,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,bloemenmarkt,,,the world only float flower market open daily on the singel between koningsplein and muntplein it be very touristy but you could do bad than buying your tulip here make sure you buy preapproved bulb if take them to the u or canada they will have the holographic licence and export tag on the bag,52.36691,,,,,,,replay,,,,,,,,,clothes,,,4.89112,,,,,,,,,,,buy,,,,,,,,,,replay,,clothes,,no,,,,,,,,,,,,,,,,,,
,,,,,the nine street,,,nine narrow street enclose between the main canal from the prinsengracht to the singel southwest of dam square the northernmost street be reestraat and to the south be the runstraat the streetnames be marked with a sign of the nine street and some shop have a flyer of this area you can find a lot of boutique specialist shop gallery and restaurant here,,,,,,,,,,,,,,,,,,,,,,,,,,httpde9straatjesnlenhome,,de negen straatjes,,,buy,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,santa jet,,,prinsenstraat 7 this little boutique specializes in handmade import from latin america you can find everything from mini shrine make of tin to lamp to kitschy postcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buy,31 20 427 2070,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,de beeldenwinkel sculpture gallery,,,this be a gallery for sculpture lover with bronze statue pottery abstract sculpture rakufired statue and marble figure sculpture to suit every budget and taste,52.37035,,,,,,,loes vrij,,,berenstraat 29,,,,,,bag,,,4.88325,,,,,,,,,,,buy,,,,,,,,,,loes vrij,,bag,,no,,,,,,,,,,,,,,,,,,
,,,,,pancake amsterdam,,,amaze variety of both sweet and savory pancake quaint atmosphere and the street side table be great to watch people the only downfall be that street side table attract too many tourist ask for direction,52.3705,,,,,,,,,,berenstraat 38,,,,,,,,,4.88318,,,,,,httpwwwpancakesamsterdamcom,,,,,eat,31 20 528 9797,,,,,,,,,,,,brunch,3 star,,,,,,intimate,,,,,,,,,,,,
,,,,,the pancake bakery,,,large selection of sweet or savory pancake,52.37757,,,,,,,the pancake bakery,,,prinsengracht 191,,,,pancake,,,,,4.88616,,12002130 daily,,,,httpwwwpancakenlen,,,,mosu 09002130,eat,31 20 6251333,restaurant,,,httpswwwpancakenl,restaurant,,20230621,pancake,the pancake bakery,mosu 09002130,,brunch,no,,,,,,casual,,,,,,,,,,,,
,,,,,de blauwe hollander,,,dutch restaurant with an extensive menu of hearty home cooked dish like herring pea soup and hutspot unlike most restaurant in this area this one get local diner too and if it get crowd enough you may have to share table pancake serve only until 5 pm,52.36354,,,,,,,de blauwe hollander,,,leidsekruisstraat 28,,,,regional,,,,,4.88473,,noon10 pm,,,,httpwwwdeblauwehollandernl,,,,,eat,31206270251,restaurant,,euro 20,httpswwwdeblauwehollandernl,restaurant,,,regional,de blauwe hollander,,,dinner,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,damsteeg,,,they specialise in fish dish but they also have a wide variety of meat and vegetarian meal to choose from with bar,52.37249,,,,,,,,,,reestraat 2832,,,,,,,,,4.88332,,,,,,httpwwwtheninestreetscomdamsteegrestaurantamsterdamhtml,,,,,eat,,,,,,,,,,,,,dinner,no,,,,,,,,,,,,,,,,,,
,,,,,dimitrij,,,offering dozen of interest sandwich and salad dimitrij be a must for at least one lunch and it on a street which be packed with an everchanging lineup of fun boutique,52.37995,,,,,,,domenica,,,prinsenstraat 3,,,,italian,,,,,4.88844,,,,,,,,,,mosa 18002200 tusa 12301400,eat,,restaurant,,,,restaurant,,,italian,domenica,mosa 18002200 tusa 12301400,,lunch,3 star,,,,,,casual,,,,,,,,,,,,
,,,,,holtkamp,,,best pastry cafe in amsterdam much well than the zeitan which a many recommend do try the holdkampf with filling,52.36169,,,,,,,myrabelle,,,vijzelgracht 15,,,,,,,,,4.89183,,mf 81800 sa 81700,,,yes,,,,,,eat,31 6248757,restaurant,,,,restaurant,,20230419,,myrabelle,,,,no,,,,,,casual,,,,,,,,,,,,
,,,,,akbar,,,indian restaurant muslim halal hindu no beef good quality dish from different region of india,52.36528,,,,,,,,,,korte leidsedwarsstraat 15,,,,,,,,,4.88193,,,,,,httpwwwakbarnl,,,,,eat,,,,main course €1520,,,,,,,,,dinner,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,la margarita,,,this caribbean restaurant offer a huge range of plate include three different vegetarian option every dish come with ample side of white rice black bean plantain and vegetable in addition to have great food the restaurant be deck out with a range of fantastic and magicrealist art if you like your food hot be sure to ask for the special homemade hot sauce reservation accepted,52.36643,,,,,,,brasserie je taime,,,reguliersdwarsstraat 49,,,,,,,,,4.89115,,daily 5pm11pm,,,,,,,,,eat,31 20 623 07 07,restaurant,,€2030 per person with drink,,restaurant,,,,brasserie je taime,,,lunch,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,proeverij 274,,,small cosy restaurant at one of the main canal business but also romantic dinner small menu new dutch cuisine with classic french influence the menu feature mainly organic regional produce personal service nice wine advice and fresh seasonal food in a relaxed environment,52.37106,,,,,,,catwalk junkie,,,prinsengracht 274,,,,,,clothes,,,4.88244,,daily 6pm10pm,,,,,,,,,eat,31 20 421 18 48,,,,,,,,,catwalk junkie,,clothes,dinner,no,,,,,,intimate,,,,,,,,,,,,
,,,,,amsterdam jewel cruise,,,a la carte din while cruise the canal,52.37237,,,,,,,,,,singel 235,,,,,,,,,4.88895,,,,,,httpwwwamsterdamjewelcruisescom,,,,,eat,31 20 422 13 85,,,cruise and 3 course dinner €115125,,,,,,,,,dinner,no,,,,,,romantic,expensive,,,,,,,,,,,
,,,,,t arendsnest,,,excellent biercafe serve only dutch beer and liqueur include jenever around 30 beer on tap 17 or so which change regularly and over 100 bottle very friendly bartender who know beer well and give great recommendation try the euro 8 sampler which give you 12cl sample of 3 beer with a glass of water and some cracker,52.37677,,,,,,,,,,herengracht 90,,,,,,,,,4.8893,,suth 4pmmidnight fsa 4pm2am,,,,httpwwwarendsnestnl,,,,,drink,31 20 421 20 57,,,,,,,,,,,,,no,,,,beer,none,casual,,,,,,,,,,,,
,,,,,dan murphy,,,one of the many irish pub in the city people from all over the world meet here and watch football rugby and typical irish sport like hurl and gaelic football while drinking a pint of guinness,52.36452,,,,,,,,,,leidseplein 24,,,,,,,,,4.88229,,,,,,httpwwwdanmurphysnl,,,,,drink,31 20 422 32 85,,,,,,,,,,,,,no,,,,beer,folk,casual,,,,,,,,,,,,
,,,,,feijoa,,,cocktail bar with a lovely atmosphere pleasant music and friendly staff include one of the netherlands lead cocktail barman will make any cocktail you ask for,52.36599,,,,,,,bobby,,,vijzelstraat 39,,,,,,,,,4.89329,,,,,,,,,,,drink,31 6 53 726 137,bar,,,,bar,,,,bobby,,,,no,,,,cocktail,jazz,intimate,,,,,,,,,,,,
