addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,Frederic,,,Bike insurance bags locks and children seats all included in the asking price Close to Centraal Station Bikes are offered incognito for the discerning guest who does not want to appear touristy,,,,,,,,,,,Brouwersgracht 78,,,,,,,,,,,,,,,httpwwwfredericnlen,,,,,other,31 20 6245509,,,€8 3 hr €10 day till 1730 €15 24 hr €25 2 days €35 3 days,,,,,,,,,,,,,,,,,,,,,,
,,,,,MacBike,,,Perhaps the most ubiquitous bicycle rental agency in Amsterdam their bicycles are painted red with a MacBike sign on the front everyone will know youre visiting The bicycles are reliable and in a good condition Several locations around the city center for assistance or repairs Online bicycle reservations at their website,,,,,,,,,,,Stationsplein 33,,,,,,,,,,,24 hours daily,,,,httpwwwmacbikenl,,,,,other,31 20 6253845,,,€750 3 hr €975 24 hr every day extra €6,,,,,,,,,,,,,,,,,,,,,,
,,,,,Orangebike,,,Their bikes are not so obviously colored more discrete reliable and sturdy The typical Dutch granny bikes are available Online reservations can be made,,,,,,,,,,,,,,,,,,,,,,09001800 daily,,,,httpwwworangebikenl,,,,,other,31 20 3541781,,,€5 1 hr €650 3 hr €950 day till 1800 €11 24 hr €1750 2 days,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rent a bike Damstraat,,,Daily to weekly rentals They have promotions in place with several hotels for discount tickets ask at the front desk Offers repairs for your bike and also has new and used bike sales,,,,,,,,,,,Damstraat 2022,,,,,,,,,,,09001800 daily,,,,httpwwwrentabikenl,,,,,other,31 20 6255029,,,€1250 for the first 24 hr insurance included,,,,,,,,,,,,,,,,,,,,,,
,,,,,Star Bikes Rental,,,Classic and solid Dutch bikes for those who want to fit in with the locals They have the traditional black granny pickups tandems bikes for kids and for disabled needs You can also arrange exclusive picnic and barbecue sets within your rental,,,,,,,,,,,De Ruyterkade 127,,,,,,,,,,,MF 08001900 Sa Su 09001900,,,,httpwwwstarbikesrentalcom,,,,,other,31 20 6203215,,,€5 4 hr €7 a day or €9 24 hr 2 lockers included,,,,,,,,,,,,,,,,,,,,,,
,,,,,OVfiets,,,This cycle hire service run by Dutch Railways NS is mostly used by Dutch residents as a Dutch bank account is required for the yearly subscription Also an OVchipkaart is needed If you manage to obtain these its a very good option due to its ubiquity and low cost,,,,,,,,,,,any Amsterdam train station except Holendrecht and Science Park plus other locations,,,,,,,,,,,,,,,httpwwwovfietsnl,,,,,other,,,,€10 per year subscription plus €315 per 24 hr usage,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Boats BV,,,Personal rental of a wide variety of boats You can rent a gondola hand made by a girl from Amsterdam She traveled to Venice to learn the craft then built her own Gondola which she brought back to Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwrentaboatamsterdamcom,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Jewel Cruises,,,An evening dinner cruise It is the only classic boat offering a private table for a romantic candlelight dinner A la carte dining but not cheap The cruise starts at 1930 and lasts just under three hours,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamjewelcruisescom,,,,,do,,,,€99113,,,,Night,,,,,,,This price range would be categorized as expensive,,,,,,,,,,,
,,,,,Boaty,,,Boaty offers rental boats so you can do your own private tour or choose one of the provided canal routes These rental boats are electrically driven which means they are silent and free of exhaust fumes,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamrentaboatcom,,,,,do,,,,,,,,Boating,,,,,,,,,,,,,,,,,,
,,,,,Boats4rent,,,Boats4rent has self operated rental boats at the Westerpark With a three or four hour rental you can make a private trip on the Amsterdam canals and the Amstel river,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwrentalboatsinamsterdamcom,,,,,do,,,,,,,,Boating,,,,,,,,,,,,,,,,,,
,,,,,Canal Company,,,The Canal Hopper runs three fixed routes stopping near major attractions Rijksmuseum Anne Franks House etc You can get on or off as often as you like but it is relatively expensive with €20 per 24 hours The first boats start between 0915 and 1045 depending on which stop you get on The last boats start dropping off at around 1900 It also has four locations for renting your own boat twoseater canal bikes cost €8 per person per hour,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwcanalnlen,,,,,do,,,,"Price 
 Canal Hopper €20 per 24 hours
 Canal bikes €8 per person per hour",,,,Cultural,,,,,,,"Canal Hopper €20 per 24 hours  Medium
 Canal bikes €8 per person per hour  Cheap",,,,,,,,,,,
,,,,,Lovers Company,,,Starts opposite the Rijksmuseum but you cannot get on or off The cruise takes about 1 hr 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwloversnlen,,,,,do,,,,€12,,,,Boat Tour,,,,,,,This activity is categorized as cheap,,,,,,,,,,,
,,,,,Chinese New Year,,,Celebrated with festivities in Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Imagine Film Festival,,,A two weeks celebration of drivein exploitation and cult films generally of the lower budget variety Takes up all the screening rooms of the EYE Film Institute in Noord,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwimaginefilmfestivalnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Kings Day,,,Formerly Queens Day this national holiday nominally in celebration of the Kings birthday is difficult to describe to anyone whos never been there The city turns into one giant mass of orangedressed people with flea markets bands playing and many onstreet parties ranging from small cafes placing a few kegs of beer outside to huge openair stages hosting worldfamous DJs The Vondelpark is the place where children sell toys and perform An experience youll never forget Normally held on April 27 but if that is a Sunday it is celebrated one day earlier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,KunstRAI,,,A modern art fair in the RAI exhibition and conference center If you want to know what the latest developments are in Dutch galleries this is where to find them all in one place,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwkunstrainl,,,,,do,,,,,,,,Art,,,,,,,,,,,,,,,,,,
,,,,,Holland Festival,,,A performing arts festival that brings together events from all over the world in the fields of music opera theater and dance,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwhollandfestivalnlen,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Taste of Amsterdam,,,A culinary festival where you can explore the food of famous Amsterdam restaurants and their chefs,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwtasteofamsterdamcom,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Open Garden Days,,,Normally you can see only the front of the canal houses but during the Open Garden Days you get to go past the entrance and see the green world behind them often bigger than you would have expected You can buy one ticket that gives you entry to all participating gardens and there is a special canal boat to take you from one location to another,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwopentuinendagennl,,Opentuinendagen,,,do,,,,,,,,Historic,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Roots Festival,,,A free openair festival with music from nonWestern countries accompanied by paid film and theater performances in the surrounding theaters,,,,,,,,,,,,,,,,,,,,,,,,,,httpamsterdamrootsnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Julidans,,,International contemporary dance festival always showing the latest developments in modern dance,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwjulidansnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Vondelpark Openluchttheater,,,This free festival offers many different performances every day Go to the open air theater just by the fountain and let the entertainment do the work From cabaret to drama to concerts to dance there is something for everyone here and for all ages,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwopenluchttheaternl,,,,,do,,,,,,,,Entertainment,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam International Fashion Week,,,Twice a year this event presents young and upcoming fashion in Europe with a focus on Dutch design,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamfashionweekcomen,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Robeco Summer Nights,,,Affordable classical music concerts taking place at the prestigious Concertgebouw,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwconcertgebouwnlenrobecosummernights,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,De Parade,,,Circus turns vintage on an oldfashioned fairground with many different tents the performers are each trying to attract their public featuring spectacles of dance theater magic art animation and music,,,,,,,,,,,Martin Luther King Park,,,,,,,,,,,,,,,httpwwwdeparadenl,,,,,do,,,,,,,,Entertainment,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Pride,,,Amsterdams gay pride on the first weekend in August One of the biggest festivals in Amsterdam with parties performances workshops and a boat parade on the Prinsengracht on Saturday afternoon which is always well worth seeing by gays and straights alike,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdampridenl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Prinsengrachtconcert and Grachtenfestival,,,Third weekend of August each year A free openair classical music concert is held every year on a stage in the middle of the Prinsengracht If you have a little boat join the crowds and make sure to bring a bottle of rose wine or prosecco for full enjoyment It takes place during the Grachtenfestival a 10 days classical music festival with about 150 concerts throughout the city but is organized independently from it,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwgrachtenfestivalnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Sail Amsterdam,,,Tallships from all over the world come to visit the Amsterdam harbor every five years the next one is in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,httpsailnlen,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Uitmarkt,,,The opening of the cultural season in the last weekend of August it offers a taste of the year to come with 30 min performances at different theaters an extensive book market and many openair concerts All free,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwuitmarktnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Jordaan Festival,,,A big inner city street festival celebrating the diversity of this former working class district Features can include drum bands a childrens festival opera and cabaret a boules competition a flea market and an auction,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwjordaanfestivalnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Robodock,,,A unique festival presenting contemporary art shows in the huge old NDSM shipyard depot in Noord The atmosphere is rough industrial experimental A lot of loud music fire smoke noise and heavy machinery are usually elements of these performances,,,,,,,,,,,,,,,,,,,,,,,,,,httprobodockorg,,,,,do,,,,,,,,Art,,,,,,,,,,,,,,,,,,
,,,,,National Restaurant Week,,,Two times a year participating restaurants offer a full 3 course dinner for a mere €25 excluding drinks allowing you to try a different restaurant for a change or a chance to have an affordable meal at one of the famous fivestar restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwrestaurantweeknllangen,,,,,do,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Dance Event,,,Usually held during the second last weekend in October this electronic music annual festival gathers cream of the crop faces from the house and techno scenes Buy your tickets in advance to avoid paying more at the door and having to queue for hours Besides partying for four nights in a row the conference offers workshops seminars presentations etc,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamdanceeventnl,,,,,do,,,,,,,,Entertainment,,,,,,,,,,,,,,,,,,
,,,,,Museumnacht,,,Long before the film came out this night at the museum attracts new crowds at the traditional Amsterdam museums with special performances at unusual locations Do as the locals do and hire a bike to go from one place to the other,,,,,,,,,,,,,,,,,,,,,,,,,,httpmuseumnachtamsterdamnl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,PAN Amsterdam,,,Third week of November The biggest national art and antiques fair in the Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwpannl,,,,,do,,,,,,,,Art,,,,,,,,,,,,,,,,,,
,,,,,International Documentary Film Festival IDFA,,,The largest festival in the world for documentary films with screenings of about 200 documentary films and videos,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwidfanl,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Museumplein,,,Amsterdam celebrates holy day of Sint Nicholaas on December 5th as Christmas in the Dam Square also known as Christmas Square However on the Day of Christmas ie December 25th the people of Amsterdam are also getting used to celebrating Christmas along with AngloAmericans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,Cultural,,,,,,,,,,,,,,,,,,
,,,,,Universiteit van Amsterdam,,,Founded as the Athenaeum Illustre in 1632 in 1877 it became the University of Amsterdam  With about 25000 students the UvA is on three separate campuses in the city center and many smaller sites scattered over Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwuvanl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Volksuniversiteit,,,Despite the name it is not a university but a venerable institute for public education Among the many courses are Dutch language courses for foreigners,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvolksuniversiteitamsterdamnl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Vrije Universiteit,,,Founded in 1880 the VU campus is located southwest of the city centre and approximately 20 minutes away by bicycle It is the only Protestant general university in the Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwvunl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Spoke,,,An English magazine featuring Amsterdams daily life its ambiance and trends,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamspokecom,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Time Out Amsterdam,,,The monthly bible for what is going on in town Can be purchased all over town,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwtimeoutamsterdamnl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Uitkrant,,,A free monthly magazine listing all concerts classical jazz pop etc exhibitions museums and anything cultural to do in Amsterdam It can be picked up at many spots in the city eg at the Uitburo at the Leidseplein,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamsuitburonlextrauitkrant,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Basiliek van de Heilige Nicolaas,,,,,,,,,,,,,,Prins Hendrikkade 73,,,,,,,,,,,Eucharist Su 1030 Dutch 1300 Spanish Low Mass M W Th Sa 1230 Dutch Tu 1230 English F 1230 Spanish,,,,httpwwwnicolaasparochienl,,,,,other,31 20 6248749,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Begijnhofkapel,,,Roman Catholic chapel at the Begijnhof officially known as the HH Johannes en Ursulakapel,,,,,,,,,,,Begijnhof 29,,,,,,,,,,,Eucharist MF 0900 and 1700 Sa 0900 Su 1000 all Dutch and 1115 French,,,,httpwwwbegijnhofamsterdamnl,,,,,other,31 20 6221918,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,De Krijtberg,,,Officially St Franciscus Xaveriuskerk,,,,,,,,,,,Singel 448,,,,,,,,,,,Eucharist MSa 1230 1745 Su 1230 1715 all Dutch High Mass Su 0930 1100 Latin,,,,httpwwwkrijtbergnl,,,,,other,31 20 6231923,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,De Papegaai,,,Officially the HH Petrus en Pauluskerk,,,,,,,,,,,Kalverstraat 58,,,,,,,,,,,Low Mass MSa 1030 Dutch High Mass Su 1030 Latin 1215 Latin,,,,httpwwwnicolaasparochienl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,English Reformed Church,,,A Reformed Church led by a Presbyterian Church of Scotland minister An English speaking congregation at the Begijnhof,,,,,,,,,,,Begijnhof 48,,,,,,,,,,,Sunday worship at 1030 English,,,,httpwwwercadamnl,,Engelse Hervormde Kerk,,,other,31 20 6249665,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The Lady of All Nations,,,Mass times are subject to change Call to be certain,,,,,,,,,,,Diepenbrockstraat 3,,,,,,,,,,,Holy Mass M W F Sa 1215 Tu 0715 Th 1830 Su 930 1115 all Dutch,,,,,,,,,other,31 20 6620504,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onze Lieve Vrouwekerk,,,,,,,,,,,,,,Keizersgracht 220,,,,,,,,,,,Holy Mass Sa 1900 Dutch Su 1115 Dutch 1800 English,,,,httpwwwamsterdamonzelievevrouwnl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OudKatholieke Kerk Amsterdam,,,A Dutch denomination in communion with the Church of England Anglican,,,,,,,,,,,Ruysdaelstraat 39,,,,,,,,,,,Eucharist Su 1000 Dutch,,,,,,,,,other,31 20 6628313,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Parish of the Blessed Trinity,,,,,,,,,,,,,,Zaaiersweg 180,,,,,,,,,,,Mass Su 1030 and 1200 both English,,,,httpwwwblessedtrinitynl,,,,,other,31 20 4652711,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bijlmermonument,,,In 1992 a Boeing 747F jumbo freighter crashed into two flats in the Bijlmer This is a monument to the people on the ground who died or lost their houses in the disaster 39 residents are known to have died but due to the large number of unregistered illegal immigrants living in the cellars of the flats at the time which were completely incinerated in the crash it is possible that more died than could officially be accounted for The monument was designed by architect Herman Hertzberger and is built around a tree that survived the crash with the names of the known victims and mosaics laid by survivors The foundations of the destroyed buildings are also still visible,,,,,,,,,,,Nellesteinplad AmsterdamZuidoost,,,,,,,,,,,,,,,httpwwwbuitenbeeldinbeeldnlAmsterdamZOBijlmermonumenthtm,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam ArenA,,,The Amsterdam ArenA built from 1993 to 1996 and with a capacity of 51628 seats during sports matches is home to the most successful football club in the Netherlands Ajax The arena can hold up to 68000 people during concerts and regularly holds popular music events In past many well known artists have performed hereAjax offers multiple daily tours through the Amsterdam ArenA stadium,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamarenanltourshtm,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Heineken Music Hall,,,Largescale music venue with plenty of international stars having performed here More headliners are booked in Amsterdam for the Heineken Music Hall than any other venue Best reached by train r metro station Amsterdam Bijlmer ArenA,,,,,,,,,,,De Corridor 9,,,,,,,,,,,,,,,httpwwwheinekenmusichallnl,,,,,do,31 900 687 42 42 Dutch phones only,,,,,,,Entertainment,,,,,,,,,,,,,,,,,,
,,,,,Pathé,,,One of the largest cinemas of the country and it also has IMAX movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,Cinema,,,,,,,,,,,,,,,,,,
,,,,,Gaasperpark,,,Recreational area and nature reserve with a lake and watersports centre The centre offers facilities for canoeing swimming rowing sailing and a surfing school Explore the park 5 km around the lake by foot bicycle or horseback On the edge of the park is the Gaasper Camping campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,Park,,,,,,,,,,,,,,,,,,
,,,,,Kraaiennest Outdoor Gym,,,A well equipped outdoor gym with permanent workout stations made out of green plastic  metal If you spend some time in Bijlmer this is a good spot to workout for free during daytime and talk to locals Just beside the running tracks and tennis court which you will see from the metro station and the Kraaiennest Winkelcentrum,,,,,,,,,,,Kleiburg 52,,,,,,,,,,,24 hrs,,,,,,,,,do,,,,Free,,,,Walking,,,,,,,Im sorry but as a system that categorizes places based on price ranges I categorize free activities separately For activities that are free they would fall under the cheap category,,,,,,,,,,,
,,,,,Skateboarding,,,There are a plethora of spots to go skateboarding in Amsterdam Zuidoost The biggest attraction is the new skatepark in Bijlmer Park with two large bowls,,,,,,,,,,,,,,,,,,,,,,,,,,httpsmapsgooglecommapsmsieUTFmsa0msid2067294396431128039620004d364c9a49f2d1e202,,,,,do,,,,,,,,Recreational,,,,,,,,,,,,,,,,,,
,,,,,Kam Yin Chinees Surinaams restaurant,,,SurinameseIndonesian cuisine Very good Moksi Meti marinated pork and sausages with noodles Popular with the locals Takeaway,,,,,,,,,,,Bijlmerplein 525,,,,,,,,,,,,,,,,,,,,eat,31 20  4095888,,,7€,,Dinner,No,,,,,,,Casual,Cheap,,,,,,,,,,,
1006,Bijlmerplein,,,,Lebkov  Sons,,,Sandwich bar Mainly caters to office workers in surrounding buildings Try the hummus  sundried tomato,52.312732,,X X   yes 2234 limited 983 no 881,,,yes,,Arena Broodjes,,1102ML,Hoekenrode 6 1102BR Amsterdam,,,,,,bakery,,,4.949238,,,,,,httpswwwlebkovnlvestigingenlebkovamsterdam,,,,,eat,31 20  3650037,,,3€,,Lunch,3 star,,,,,,,Casual,This price is around the 10 euro mark so it would be categorized as cheap,,,,,,,,,,,
,,,,,Lomnava Kenkey House,,,Possibly the only Ghanaian snack bar in Amsterdam Specializes in Kenkey a sort of sourdough dumpling but has a wide range of WestAfrican cuisine at very reasonable prices,52.309048,,X X,,,,,,,,Karspeldreef 1102BX Amsterdam,,,,,,,,,4.958306,,,,,,,,,,,eat,,,,7€,,Lunch,No,,,,,,,Casual,Cheap,,,,,,,,,,,
5,Hoekenrode,,,,Marmaris Grill  Pizza,,,Relatively upmarket TurkishMediterranean restaurant in fancy new building opposite station BijlmerArena Great food presentation and service  definitely worth the price On cold days avoid sitting anywhere near the door as it frequently fails to close properly,52.3128948,,X X yes 217 no 4 X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1    X yes 2234 limited 983 no 881,,,no,,Marmaris grill  pizza,,1102BR,Hoekenrode 5 1102BR Amsterdam,,,,turkish,,,,,4.9490031,,,,,,httpwwwmarmarisgrillenpizzanl,,,,MoSu 10302400,eat,31 20 697 3641,restaurant,,14€,httpwwwmarmarisgrillenpizzanl,Dinner,3 Star,,,,,,,Chic,This place would be categorized as cheap based on the price of the meal around 10 euro mark,,,,,,,,,,indoor and outdoor,
3,Heesterveld,,,,Oma Ietje,,,Inevitably Hipsters have even found their way into the Bijlmer Partfunded by crowdfunding Very worthy Swedish style coffee house Exquisite coffees biological lemonade and delicious cakes Also showcases art by local artists Worth a visit particularly if youre staying at the AO Hostel just on the other side of the Metro line,52.306396,,X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 X,,,,,Oma Ietje,,,Heesterveld 3 1102SB Amsterdam,,,,,,,,,4.95379,,0800 – 1700 ThuFri 0800 2000,,,,httpomaietjenl,,,,,eat,31 20  2338150,cafe,,5€,httpsomaietjenl,Brunch,1 star,,,,,,,Casual,Cheap,,,,,,,,,,outdoor,
,,,,,t Pleintje,,,Located just off the Bijlmerdreef near metro Ganzenhoef 53 this is one of only two legal bars in the northeastern quadrant of Bijlmer and so serves maybe twenty thousand inhabitants Although the building is very new the decoration is typically bruin cafe Clientele is incredibly mixed everything from rastafarians inevitably outside smoking pot to old Amsterdammers youd expect to find in the Jordaan Closes at 18h,,,,,,,,,,,Harriet Freezerstraat 104 1103JP AmsterdamZuidoost,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,beer,Reggae,Casual,,,,,,,,,,,,
