key,values
fee,"yes: 82, no: 18, EUR 24 (2 adults, camper): 2, first hour and restaurant free; €2/hour;€8/day;€5/extra night: 1"
museum,"art: 5, history: 4, person: 2, local: 2, technology: 2, architecture: 1, nature: 1, agriculture: 1, art;history: 1"
post_office,"post_partner: 5, yes: 1"
url,"https://www.omroepwest.nl/nieuws/4530151/drama-op-kaageiland-twintig-huizen-en-restaurant-verwoest-door-grote-brand: 26, http://www.bvdtweewielers.nl: 2, www.bvdtweewielers.nl: 2, www.boerderijachtervennen.nl: 2, http://www.cruquiusplaza.nl: 2, http://www.citizenm.com/: 2, http://www.casio-europe.com/nl/: 2, https://www.amsterdamamericanhotel.com: 1, http://www.bikecity.nl: 1, https://www.wallettweewielers.nl: 1"
bicycle_rental,shop: 13
rooms,"42: 2, 81: 2, 80: 2, 14: 2, 120: 2, 256: 2, 271: 2, 263: 2, 207: 2, 181: 2"
food,"yes: 13, no: 1"
brewery,"yes: 6, various: 2, Heineken: 1, Grolsch: 1, Bavaria: 1, various;local: 1, Amstel: 1, Asahi: 1, brewery=hertog_jan: 1, yes;various: 1"
origin,"asian: 4, polish: 2, indian: 2"
indoor_seating,"yes: 217, no: 4"
air_conditioning,"yes: 35, no: 6"
bar,"yes: 22, no: 4, gate: 1"
delivery,"yes: 101, no: 52, No: 1, 12:00-16:30: 1, 17:00-23:00: 1, Mo-Su 16:45-22:00; Fr,Sa 00:00-02:00,16:45-24:00: 1, 16:00-20:00;Tu off: 1, Su-Th 12:00-22:30; Fr-Sa 12:00-23:30: 1, Mo-Sa 17:30-21:00: 1, Tu-Su 17:00-21:00: 1"
toilets,"yes: 72, no: 22, unisex: 2"
access,"yes: 17, customers: 12, private: 6"
reservation,"yes: 36, recommended: 14, required: 8, no: 4"
second_hand,"only: 49, yes: 39, no: 13"
beauty,"nails: 36, tanning: 19, waxing: 8, skin_care: 4, spa: 3, pedicure: 1, *: 1, eyelash;nails: 1, hair_removal;skin_care: 1, cosmetics: 1"
craft_beer,X
historic,"yes: 4, ship: 3, memorial: 2, castle: 2, technical_monument: 2, aircraft: 1, railway_car: 1"
clothes,"women: 177, underwear: 48, unisex: 45, men: 38, children: 23, underwear;women: 8, wedding: 6, hats: 5, men;women: 5, workwear: 5"
guest_house,hostel: 3
full_name,X
laundry_service,"yes: 10, no: 8"
self_service,"yes: 28, only: 15, no: 10"
lgbtq,"primary: 20, welcome: 4"
leisure,"playground: 14, outdoor_seating: 4, sports_centre: 3, fitness_station: 2, garden: 2, marina: 2, winter_restaurant: 2, pitch: 2, fitness_centre: 1, sauna: 1"
duty_free,yes: 7
bench,X
microbrewery,"yes: 4, no: 2"
male,yes: 50
heritage,"2: 21, 8: 2"
organic,"only: 27, yes: 21, no: 4, *: 1"
capacity,"50: 4, 30: 3, 100: 3, 40: 3, 80: 2, 250: 2, 64: 2, 285: 1, 65: 1, 22: 1"
gluten_free,yes: 2
lactose_free,X
pet,"dog: 2, fish: 2, dog;cat: 1, parrot: 1"
office,"company: 7, yes: 5, financial: 3, insurance: 1, telecommunication: 1, mortgage: 1, estate_agent: 1, shop: 1"
created_by,iLOE 1.9: 9
menu,X
female,yes: 45
books,"comic: 3, antiquarian: 2, cooking: 1, comics: 1"
fast_food,"cafeteria: 2, pizza: 1"
start_date,"2000: 27, 1005: 24, 2016: 24, 1972: 21, 2013: 20, 1900: 19, 2015: 18, 2008: 17, 1998: 17, 2011: 16"
wifi,X
landmark,X
memorial,X
theme,"cat: 2, karaoke: 1"
shoes,X
entrance,"shop: 4, main: 2, yes: 2"
indoor,"room: 41, yes: 4, area: 4"
outdoor,X
terrace,yes: 3
compressed_air,X
collector,X
bakehouse,X
elevator,X
coffee,X
mobile,X
changing_table,"yes: 10, no: 9"
highchair,yes: 3
cocktails,yes: 2
karaoke,X
store,X
produce,"potatoes: 2, potatoes,eggs,onions: 2, cheese,potatoes,vegetables,legumes,mushrooms,fruit,juices,eggs,wine: 1, meat,cheese,dairy,vegetables,herbs,fruit,wine,bread,nuts,jam,honey: 1, dairy, meat, fruit, nuts, jam, cheese: 1, flowers: 1, vegetable: 1, appels,pears,prunes,potatoes,onions,carrots,beets,beans,pumpkins: 1, cheese,butter,eggs,dairy: 1, goat cheese (also with herbs): 1"
restaurant,"yes: 2, no: 2, pizza: 1"
lunch,"yes: 2, Mo-Sa 12:00-15:30: 1"
motor_vehicle,X
rental,"bicycle: 3, trailer: 1, car: 1, yes: 1"
breakfast,"no: 2, buffet: 1, yes: 1"
lottery,X
shop2,X
shop_1,X
cafe,X
alcohol,wine: 2
butcher,"poultry: 4, chicken;poultry;game: 1"
massage,X
pets,"yes: 2, no: 1"
parking,"surface: 4, underground: 3"
dinner,X
kids_area,"yes: 2, no: 1"
drink,"wine: 2, beer: 1, coffee, tea: 1"
medical_supply,orthopedic: 3
fsat_food,X
musical_instrument,piano: 3
dog,no: 6
vegetarian,X
bicycle_parking,"shed: 2, building: 1"
covered,"yes: 5, no: 1"
electronics,X
playground,"horizontal_bar: 62, climbingframe: 2, seesaw: 2, balance_bar: 1, slide: 1, bridge: 1"
vegan,X
shop_2,X
buffet,X
antiques,X
ticket,X
culture,X
vegetable,X
drinking_water,X
bakery,X
max_age,"8: 7, 12: 2, 7: 1"
fitness_station,horizontal_bar: 3
room,"shop: 39, restaurant: 8"
artwork_type,"installation: 8, sculpture: 2"
emergency,X
beds,"16: 2, 600: 2, 1: 1"
healthcare,X
natural,"tree: 24, water: 1"
area,yes: 7
museum_type,X
retail,"shop: 2, dealer: 2, Interieur: 2"
religion,"christian: 2, none: 2"
dish_washing,yes: 2
general_room,no: 2
guarded,no: 2
internet,wifi: 2
laundry,yes: 2
picnic_benches,yes: 2
shower,hot: 2
swimming_pool,no: 2
tents,yes: 2
apple_pie,yes: 2
opening_date,"2024: 3, 2023-04-15: 1"
castle_type,X
architect,"Han van Leeuwen: 2, Pierre Cuypers: 2, Ministerie van Oorlog: 2, Roelof Kuipers: 2"
url_2,https://nl.casio-shop.eu/: 2
park_ride,no: 2
walking_disability,limited: 2
artist_name,Atelier Van Lieshout: 2
seasonal,yes: 2
age_group,"2-8 years old: 2, 1-6 years old: 2"
