addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,amenity.1,brand.1,check_date,cuisine.1,name.1,opening_hours.1,shop.1,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,de krijtberg,,,officially st franciscus xaveriuskerk,,,,,,,,,,,singel 448,,,,,,,,,,,eucharist msa 1230 1745 su 1230 1715 all dutch high mass su 0930 1100 latin,,,,httpwwwkrijtbergnl,,,,,other,31 20 6231923,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,de papegaai,,,officially the hh petrus en pauluskerk,,,,,,,,,,,kalverstraat 58,,,,,,,,,,,low mass msa 1030 dutch high mass su 1030 latin 1215 latin,,,,httpwwwnicolaasparochienl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,english reform church,,,a reform church lead by a presbyterian church of scotland minister an english speak congregation at the begijnhof,,,,,,,,,,,begijnhof 48,,,,,,,,,,,sunday worship at 1030 english,,,,httpwwwercadamnl,,engelse hervormde kerk,,,other,31 20 6249665,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,the lady of all nation,,,mass time be subject to change call to be certain,,,,,,,,,,,diepenbrockstraat 3,,,,,,,,,,,holy mass m w f sa 1215 tu 0715 th 1830 su 930 1115 all dutch,,,,,,,,,other,31 20 6620504,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,onze lieve vrouwekerk,,,,,,,,,,,,,,keizersgracht 220,,,,,,,,,,,holy mass sa 1900 dutch su 1115 dutch 1800 english,,,,httpwwwamsterdamonzelievevrouwnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,oudkatholieke kerk amsterdam,,,a dutch denomination in communion with the church of england anglican,,,,,,,,,,,ruysdaelstraat 39,,,,,,,,,,,eucharist su 1000 dutch,,,,,,,,,other,31 20 6628313,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,parish of the bless trinity,,,,,,,,,,,,,,zaaiersweg 180,,,,,,,,,,,mass su 1030 and 1200 both english,,,,httpwwwblessedtrinitynl,,,,,other,31 20 4652711,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,bijlmermonument,,,in 1992 a boeing 747f jumbo freighter crashed into two flat in the bijlmer this be a monument to the people on the ground who die or lose their house in the disaster 39 resident be know to have die but due to the large number of unregistered illegal immigrant living in the cellar of the flat at the time which be completely incinerate in the crash it be possible that more die than could officially be account for the monument be design by architect herman hertzberger and be built around a tree that survive the crash with the name of the know victim and mosaic laid by survivor the foundation of the destroyed building be also still visible,,,,,,,,,,,nellesteinplad amsterdamzuidoost,,,,,,,,,,,,,,,httpwwwbuitenbeeldinbeeldnlamsterdamzobijlmermonumenthtm,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam arena,,,the amsterdam arena built from 1993 to 1996 and with a capacity of 51628 seat during sport match be home to the most successful football club in the netherlands ajax the arena can hold up to 68000 people during concert and regularly hold popular music event in past many well know artist have perform hereajax offer multiple daily tour through the amsterdam arena stadium,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwamsterdamarenanltourshtm,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,kam yin chinees surinaams restaurant,,,surinameseindonesian cuisine very good moksi meti marinate pork and sausage with noodle popular with the local takeaway,,,,,,,,,,,bijlmerplein 525,,,,,,,,,,,,,,,,,,,,eat,31 20 4095888,,,7€,,,,,,,,,dinner,no,,,,,,casual,cheap,,,,,,,,,,,
1006,bijlmerplein,,,,lebkov son,,,sandwich bar mainly caters to office worker in surround building try the hummus sundried tomato,52.312732,,x x yes 2234 limited 983 no 881,,,yes,,arena broodjes,,1102ml,hoekenrode 6 1102br amsterdam,,,,,,bakery,,,4.949238,,,,,,httpswwwlebkovnlvestigingenlebkovamsterdam,,,,,eat,31 20 3650037,,,3€,,,,,,arena broodjes,,bakery,lunch,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,lomnava kenkey house,,,possibly the only ghanaian snack bar in amsterdam specializes in kenkey a sort of sourdough dumpling but have a wide range of westafrican cuisine at very reasonable price,52.309048,,x x,,,,,,,,karspeldreef 1102bx amsterdam,,,,,,,,,4.958306,,,,,,,,,,,eat,,,,7€,,,,,,,,,,no,,,,,,casual,cheap,,,,,,,,,,,
5,hoekenrode,,,,marmaris grill pizza,,,relatively upmarket turkishmediterranean restaurant in fancy new building opposite station bijlmerarena great food presentation and service definitely worth the price on cold day avoid sit anywhere near the door a it frequently fails to close properly,52.3128948,,x x yes 217 no 4 x x yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 x yes 2234 limited 983 no 881,,,,,marmaris grill pizza,,1102br,hoekenrode 5 1102br amsterdam,,,,turkish,,,,,4.9490031,,,,,,httpwwwmarmarisgrillenpizzanl,,,,mosu 10302400,eat,31 20 697 3641,restaurant,,14€,httpwwwmarmarisgrillenpizzanl,restaurant,,,turkish,marmaris grill pizza,mosu 10302400,,dinner,3 star,,,,,,chic,cheap,,,,,,,,,,,
3,heesterveld,,,,oma ietje,,,inevitably hipster have even found their way into the bijlmer partfunded by crowdfunding very worthy swedish style coffee house exquisite coffee biological lemonade and delicious cake also showcase art by local artist worth a visit particularly if youre stay at the ao hostel just on the other side of the metro line,52.306396,,x x yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 x,,,,,oma ietje,,,heesterveld 3 1102sb amsterdam,,,,,,,,,4.95379,,0800 – 1700 thufri 0800 2000,,,,httpomaietjenl,,,,,eat,31 20 2338150,cafe,,5€,httpsomaietjenl,cafe,,,,oma ietje,,,,3 star,,,,,,chic,cheap,,,,,,,,,,,
,,,,,t pleintje,,,locate just off the bijlmerdreef near metro ganzenhoef 53 this be one of only two legal bar in the northeastern quadrant of bijlmer and so serf maybe twenty thousand inhabitant although the building be very new the decoration be typically bruin cafe clientele be incredibly mixed everything from rastafarian inevitably outside smoking pot to old amsterdammers youd expect to find in the jordaan close at 18h,,,,,,,,,,,harriet freezerstraat 104 1103jp amsterdamzuidoost,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,beer,reggae,casual,,,,,,,,,,,,
,,,,,gaasper camp amsterdam,,,the capital large campsite,,,,,,,,,,,loosdrecht 7 1108 az,,,,,,,,,,,,,,,httpwwwgaaspercampingamsterdamnl,,,,,sleep,,campsite,,,,,,,,,,,,no,,,size large number of bed multiple view potentially nice view of the city private bath possibly share facility kitchen possible communal kitchen area balcony not specify tv not likely air conditioning not likely,,,,,,,,,city view,,,,large,,
22,hogehilweg,,,,ao amsterdam zuidoost,,,hostel immediately adjacent to metro station bullewijk 5 min walk from train station amsterdam bijlmerarena free wifi free parking no curfew this hostel be the large in amsterdam open early 2015 in a completely renovate former office building new clean and very popular be spearhead the revitalization of this part of town location be logistically perfect less than 20 min doortodoor from schiphol airport near major train station and the junction between major motorway lead into amsterdam and with an excellent metro connection into the center of town only drawback be that there isnt much to do in the immediate vicinity and that the metro doesnt run at night fortunately amsterdam night bus do run every night and stop at amsterdam bijlmerarena 5 min walk away,52.307066,,wlan 431 yes 64 no 20 x no 149 outside 100 isolated 7 separate 7 dedicate 3 yes 1 x x yes 2234 limited 983 no 881,,,,1500,ao amsterdam zuidoost,room be stepfree but ensuite toilet be not accessible,1101cd,hogehilweg 22 1102 cd,1000,,,,,,,,4.949838,yes,,,,,httpwwwaohostelscomenamsterdamamsterdamzuidoost,yes,,no,,sleep,,commercial,,,httpswwwaohostelscomenamsterdamamsterdamzuidoost,commercial,,,,ao amsterdam zuidoost,,,,no,,clean,base on the description the possible room facility at the hostel be free wifi free parking air conditioning private bath tv,,,,,,,,,,,,,large,,
,,,,,campanile hotel amsterdam,,,3 star hotel 1 minute walk from metro station gaasperplas free wifi free parking,,,,,,,1400,,,,loosdrechtdreef 3 1108 ax,1200,,,,,,,,,,,,,,httpwwwcampanilecom,,,,,sleep,,hotel,,price not available,,,,,,,,,,no,,,base on the description provide the possible room facility could include 1 free wifi 2 free parking 3 air conditioning 4 tv,,,,,,,,,,,,,,,
,,,,,tulip inn amsterdam riverside,,,3 star hotel 7 minute walk from metro station gaasperplas free parking 8 conference room restaurant bar open till 100 be,,,,,,,,,,,provincialeweg 38 1108 ab,,,,,,,,,,,,,,,httpwwwtulipinnamsterdamriversidenl,,,,,sleep,,hotel,,,,,,,,,,,,no,,,base on the description the possible room facility at this 3star hotel may include private bath air conditioning tv,,,,,,yes,,,,,,,,,
,,,,,magere brug,,,the magere brug literally skinny bridge be a bridge that span the amstel river and connects the kerkstraat with the nieuwe kerkstraat it an iconic bridge that consists of nine arch and a drawbridge that be still operate by hand the current bridge be make of whitepainted wood but it have be rebuilt several time and historically it have also be in concrete the first bridge here be built in 1691 but the current one date from 1934 it be one of the most photograph bridge of amsterdam especially at night because of the 1200 tiny light that make it look like a pictureperfect postcard,52.363587,,x x x yes 2234 limited 983 no 881,,,yes,,ponte magro,,,,,,,,,,,,4.902373,,,,,,,,,,,see,,restaurant,,,,restaurant,,,,ponte magro,,,,no,,,,,,,,,,,,,,,,,,
,,,,,anne frank house,,,the house where the jewish girl anne frank write her diary while hiding with her family from the nazi dont let the long line or maybe a very short line if youre lucky discourage you it move quickly and the experience inside the hiding place on the top floor be move the museum lack any exhibit to explain the historical context at the time of anne diary however go in the early even around 5pm to avoid any line or alternatively skip the line entirely by reserve ticket from the official website the anne frank house be open later during the summer museumkaart be valid i amsterdam card be not valid,52.37507,,x,,,,,,,,prinsengracht 267,,,,,,,,,4.88414,,,,,,httpwwwannefrankorg,,anne frankhuis,,,see,31 20 556 71 00,museum,,€9,,museum,,,,,,,,no,,,,,,,,,,,,,,,,,,
386,herengracht,museum of the canal,,,museum het grachtenhuis,,,het grachtenhuis be the gateway to the world famous canal district het grachtenhuis tell the fascinate story about how amsterdam canal district be create by a multimedia exhibition,52.36788,,x yes 82 no 18 eur 24 2 adult camper 2 first hour and restaurant free €2hour €8day €5extra night 1 x x x yes 2234 limited 983 no 881,,,,,grachtenhuis,,1016cj,herengracht 386,,,,,,,,,4.8863,,,,,,httpwwwhetgrachtenhuisnl,,the museum of the canal,,tusu 10001700,see,31 20 421 1656,museum,,€12,httpsgrachtenmuseum,museum,,,,grachtenhuis,tusu 10001700,,,no,,,,,,,,,,,,,,,,,,
497,herengracht,cat museum,,,cat cabinet,,,a cat museum house in a beautiful restore palatial home in an upscale area street very masterpiece theater it be open by the homeowner after his favourite cat die and he still life in the home lot of catrelated art and two real feline the exhibition be spread across the first floor of the house,52.36561,,x x x yes 72 no 22 unisex 2 x yes 2234 limited 983 no 881,nlkattenkabinet,,,,kattenkabinet,,,herengracht 497,,,,,,,categorykattenkabinet,,4.89156,,,,,yes,httpwwwkattenkabinetnlhtmlindexengelsdhtmlhtml,,kattenkabinet,,sa su 12001700 mofr 10001700,see,31 20 626 9040,attraction,,€5,httpskattenkabinetnl,attraction,,,,kattenkabinet,sa su 12001700 mofr 10001700,,,no,,,,,,,,,,,,,,,,,,
605,herengracht,,,,museum willetholthuysen,,,it be the only fully furnish canalside patrician house in amsterdam that be open to the public the museum have a large collection of silverware plate and book from the dutch golden age it also have a substantial collection of art,52.3656,,yes 82 no 18 eur 24 2 adult camper 2 first hour and restaurant free €2hour €8day €5extra night 1 x x x yes 2234 limited 983 no 881,nlhuis willetholthuysen,,,,willetholthuysen,,1017ce,herengracht 605,,,,,,,categorymuseum willetholthuysen,,4.89902,,mofr 10am5pm sasu 11am5pm,,,,httpwwwwilletholthuysennlen,,,,mofr 10001700 sasu 11001700,see,31 20 523 1822,museum,,€9,httpswwwwilletholthuysennl,museum,,,,willetholthuysen,mofr 10001700 sasu 11001700,,,no,,,,,,,,,,,,,,,,,,
488,prinsengracht,amsterdam pipe museum,,,amsterdam pipe museum,,,unique collection of smoking pipe in an authentic canal house from 1670 in the historic ambiance of the collector house his collection of pipe cover 2500 year be displayed visitor get a personal tour by enthusiast volunteer of the foundation that also run the speciality shop in the basement a huge selection of nearly 3000 modern briar pipe be for sale next to collectible and book on pipe and tobacco,52.36413,,x yes 82 no 18 eur 24 2 adult camper 2 first hour and restaurant free €2hour €8day €5extra night 1 x x x,nlamsterdam pipe museum,,,,pijpenkabinet,,1017kh,prinsengracht 488,,,,,,,categoryamsterdam pipe museum,,4.88535,,12001800,,,,httpwwwpipemuseumnl,,pijpenkabinet,,mosa 12001800,see,31 20 421 1779,museum,,8 €,httpswwwpipemuseumnl,museum,,,,pijpenkabinet,mosa 12001800,,,no,,,,,,,,,,,,,,,,,,
,,,,,museum van loon,,,17th century house with interior restore with furnishing to how it look in the 18th century also interest to see a garden you would not normally see form the street,52.363333,,x x x x x yes 2234 limited 983 no 881,,,,,priwet rossia,,,keizersgracht 672,,,,,,convenience,,,4.892778,,,,,,httpwwwmuseumvanloonnlhome,,,,10002200,see,,,,,httpwwwpriwetrossianl,,,,,priwet rossia,10002200,convenience,,no,,,,,,,,,,,,,,,,,,
60,westermarkt,,,,westerkerk,,,built in 16201631 locate on westermarkt near the anne frank house you can climb the tower with guide only every half hour msa €6 the tower be also open in the winter by group appointment maximum 10 people for €70hr in good weather you can see all of amsterdam and a far a the coast free organ concert held every friday at 1300,52.37453,,x x,,,,,,,1016dl,,,,,,,gift,,,4.88395,,aprsep mf 11001500,,,,httpwwwwesterkerknl,,,,,see,31 20 624 77 66,retail,,free,,retail,,,,,,gift,,no,,,,,,,,,,,,,,,,,,
66,westermarkt,,,,homomonument,,,the homomonument be a memorial to gay and lesbian murder in world war ii a call for vigilance against homophobia and an inspiration for gay and lesbian the world over it consists of three equilateral triangle make of pink granite that be connect by an inlaid band of pink brick these three triangle represent the past present and future,52.37442,,x x,,,,,cheese store,,1016dl,westermarkt,,,,,,cheese,,,4.88468,,,,,,httpwwwhomomonumentcom,,,,,see,31 20 551 2512,,,,,,,,,cheese store,,cheese,,no,,,,,,,,,,,,,,,,,,
516,singel,,,,bloemenmarkt,,,the world only float flower market open daily on the singel between koningsplein and muntplein it be very touristy but you could do bad than buying your tulip here make sure you buy preapproved bulb if take them to the u or canada they will have the holographic licence and export tag on the bag,52.36691,,x x x,,,,,henri willig,,1017ax,,,2 cheese shop next to each other without connection eventhough they seem to belong to the same company,,,,cheese,,,4.89112,,,,,,,,,,,buy,,,,,httpswwwcheesefarmscomencheeseshopsthekaaskelder,,,,,henri willig,,cheese,,no,,,,,,,,,,,,,,,,,,
,,,,,the nine street,,,nine narrow street enclose between the main canal from the prinsengracht to the singel southwest of dam square the northernmost street be reestraat and to the south be the runstraat the streetnames be marked with a sign of the nine street and some shop have a flyer of this area you can find a lot of boutique specialist shop gallery and restaurant here,,,,,,,,,,,,,,,,,,,,,,,,,,httpde9straatjesnlenhome,,de negen straatjes,,,buy,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,santa jet,,,prinsenstraat 7 this little boutique specializes in handmade import from latin america you can find everything from mini shrine make of tin to lamp to kitschy postcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buy,31 20 427 2070,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
39,berenstraat,,,,de beeldenwinkel sculpture gallery,,,this be a gallery for sculpture lover with bronze statue pottery abstract sculpture rakufired statue and marble figure sculpture to suit every budget and taste,52.37035,,x x x,,,,,smaak,,1016gg,berenstraat 29,,,,,,bag,,httpswwwsmaakamsterdamcomamsterdam,4.88325,,,,,,,,,,,buy,,,,,httpswwwsmaakamsterdamcom,,,,,smaak,,bag,,no,,,,,,,,,,,,,,,,,,
38,berenstraat,,,,pancake amsterdam,,,amaze variety of both sweet and savory pancake quaint atmosphere and the street side table be great to watch people the only downfall be that street side table attract too many tourist ask for direction,52.3705,,x x x x x yes 2234 limited 983 no 881,,,,,pancake amsterdam,,1016gh,berenstraat 38,,,,pancake,,,,,4.88318,,,,,,httpwwwpancakesamsterdamcom,,,,mosu 09001800,eat,31 20 528 9797,restaurant,,,httpswwwpancakesamsterdamcom,restaurant,,,pancake,pancake amsterdam,mosu 09001800,,brunch,no,,,,,,intimate,,,,,,,,,,,,
191,prinsengracht,,,,the pancake bakery,,,large selection of sweet or savory pancake,52.37757,,x x x wlan 431 yes 64 no 20 x x x,,,,,the pancake bakery,,1015ds,prinsengracht 191,,,,pancake,,,,,4.88616,,12002130 daily,,,,httpwwwpancakenlen,,,,mosu 09002130,eat,31 20 625 1333,restaurant,,,httpswwwpancakenl,restaurant,,,pancake,the pancake bakery,mosu 09002130,,brunch,3 star,,,,,,casual,,,,,,,,,,,,
,,,,,de blauwe hollander,,,dutch restaurant with an extensive menu of hearty home cooked dish like herring pea soup and hutspot unlike most restaurant in this area this one get local diner too and if it get crowd enough you may have to share table pancake serve only until 5 pm,52.36354,,x x x x,,,,,de blauwe hollander,,,leidsekruisstraat 28,,,,regional,,,,,4.88473,,noon10 pm,,,,httpwwwdeblauwehollandernl,,,,,eat,31206270251,restaurant,,euro 20,httpswwwdeblauwehollandernl,restaurant,,,regional,de blauwe hollander,,,dinner,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,damsteeg,,,they specialise in fish dish but they also have a wide variety of meat and vegetarian meal to choose from with bar,52.37249,,x x yes 2234 limited 983 no 881,,,,,bussia,,,reestraat 2832,,,,,,,,,4.88332,,,,,,httpwwwtheninestreetscomdamsteegrestaurantamsterdamhtml,,,,,eat,,restaurant,,,,restaurant,,,,bussia,,,dinner,no,,,,,,casual,,,,,,,,,,,,
101,brouwersgracht,,,,dimitrij,,,offering dozen of interest sandwich and salad dimitrij be a must for at least one lunch and it on a street which be packed with an everchanging lineup of fun boutique,52.37995,,x x x x yes 2234 limited 983 no 881,,,,,café tabac,,1015gc,prinsenstraat 3,,,,,,,,,4.88844,,,,,,,,,,sumo 11000100 tuth 16000100 frsa 16000300,eat,31 20 622 4413,cafe,,,httpwwwcafetabaceu,cafe,,,,café tabac,sumo 11000100 tuth 16000100 frsa 16000300,,lunch,no,,,,,,casual,,,,,,,,,,,,
