addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,diet:vegan,address,checkOut,note,takeaway,indoor_seating,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,diet:vegetarian,fee,hours,stars,changing_table,toilets,url,internet_access,alt,building,outdoor_seating,smoking,diet:gluten_free,opening_hours,type,phone,amenity,old_name,price,tourism,website,amenity,brand,check_date,cuisine,name,opening_hours,shop,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size
,,,,,Frederic,,,"Bike, insurance, bags, locks, and children seats all included in the asking price. Close to Centraal Station. Bikes are offered ""incognito"", for the discerning guest who does not want to appear ""touristy"".",,,,,,,,,,,,Brouwersgracht 78,,,,,,,,,,,,,,,,,,http://www.frederic.nl/en/,,,,,,,,other,+31 20 624-5509,,,"€8 (3 hr), €10 (day till 17:30), €15 (24 hr), €25 (2 days), €35 (3 days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MacBike,,,"Perhaps the most ubiquitous bicycle rental agency in Amsterdam, their bicycles are painted red with a MacBike sign on the front, everyone will know you're visiting. The bicycles are reliable, and in a good condition. Several locations around the city center for assistance or repairs. Online bicycle reservations at their website.",,,,,,,,,,,,Stationsplein 33,,,,,,,,,,,,,,24 hours daily,,,,http://www.macbike.nl,,,,,,,,other,+31 20 625-3845,,,"€7.50 (3 hr), €9.75 (24 hr), every day extra €6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Orangebike,,,"Their bikes are not so obviously colored, more discrete, reliable and sturdy. The typical Dutch granny bikes are available. Online reservations can be made.",,,,,,,,,,,,,,,,,,,,,,,,,,09:00-18:00 daily,,,,http://www.orange-bike.nl,,,,,,,,other,+31 20 354-1781,,,"€5 (1 hr), €6.50 (3 hr), €9.50 (day till 18:00), €11 (24 hr), €17.50 (2 days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rent a bike Damstraat,,,"Daily to weekly rentals. They have promotions in place with several hotels for ""discount tickets"", ask at the front desk. Offers repairs for your bike and also has new and used bike sales.",,,,,,,,,,,,Damstraat 20-22,,,,,,,,,,,,,,09:00-18:00 daily,,,,http://www.rentabike.nl,,,,,,,,other,+31 20 625-5029,,,"€12.50 for the first 24 hr, insurance included",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Star Bikes Rental,,,"Classic and solid Dutch bikes for those who want to fit in with the locals. They have the traditional black granny, pick-ups, tandems, bikes for kids and for disabled needs. You can also arrange exclusive picnic and barbecue sets within your rental.",,,,,,,,,,,,De Ruyterkade 127,,,,,,,,,,,,,,"M-F 08:00-19:00, Sa Su 09:00-19:00",,,,http://www.starbikesrental.com,,,,,,,,other,+31 20 620-3215,,,"€5 (4 hr), €7 (a day) or €9 (24 hr), 2 lockers included",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OV-fiets,,,"This cycle hire service, run by Dutch Railways (NS), is mostly used by Dutch residents, as a Dutch bank account is required for the yearly subscription. Also an OV-chipkaart is needed. If you manage to obtain these, it's a very good option due to its ubiquity and low cost.",,,,,,,,,,,,"any Amsterdam train station (except Holendrecht and Science Park), plus other locations",,,,,,,,,,,,,,,,,,http://www.ov-fiets.nl/,,,,,,,,other,,,,"€10 per year (subscription), plus €3.15 per 24 hr (usage)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Boats B.V.,,,"Personal rental of a wide variety of boats. You can rent a ''gondola'', hand made by a girl from Amsterdam. She traveled to Venice to learn the craft, then built her own Gondola which she brought back to Amsterdam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.rentaboatamsterdam.com,,,,,,,,do,,,,,,,,,,,,,,,,Historic,,,,,,,,,,,,,,,,
,,,,,Amsterdam Jewel Cruises,,,"An evening dinner cruise. It is the only classic boat offering a private table for a romantic candlelight dinner. A la carte dining, but not cheap! The cruise starts at 19:30 and lasts just under three hours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdamjewelcruises.com,,,,,,,,do,,,,€99-113,,,,,,,,,,,,Night,,,,,,,Expensive,,,,,,,,,
,,,,,Boaty,,,Boaty offers rental boats so you can do your own private tour (or choose one of the provided canal routes). These rental boats are electrically driven which means they are silent and free of exhaust fumes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdamrentaboat.com,,,,,,,,do,,,,,,,,,,,,,,,,Boat Tour,,,,,,,,,,,,,,,,
,,,,,Boats4rent,,,Boats4rent has self operated rental boats at the Westerpark. With a three or four hour rental you can make a private trip on the Amsterdam canals and the Amstel river.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.rentalboatsinamsterdam.com,,,,,,,,do,,,,,,,,,,,,,,,,Boating,,,,,,,,,,,,,,,,
,,,,,Canal Company,,,"The Canal Hopper runs three fixed routes, stopping near major attractions (Rijksmuseum, Anne Frank's House, etc.). You can get on or off as often as you like, but it is relatively expensive with €20 per 24 hours. The first boats start between 09:15 and 10:45, depending on which stop you get on. The last boats start dropping off at around 19:00. It also has four locations for renting your own boat; two-seater canal bikes cost €8 per person per hour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.canal.nl/en,,,,,,,,do,,,,"Price: 
- Canal Hopper: €20 per 24 hours 
- Two-seater canal bikes: €8 per person per hour",,,,,,,,,,,,Walking,,,,,,,"Canal Hopper: Medium
Two-seater canal bikes: Cheap",,,,,,,,,
,,,,,Lovers Company,,,"Starts opposite the Rijksmuseum, but you cannot get on or off. The cruise takes about 1 hr 30 min.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.lovers.nl/en/,,,,,,,,do,,,,€12,,,,,,,,,,,,Cultural,,,,,,,This activity would be categorized as **cheap**.,,,,,,,,,
,,,,,Chinese New Year,,,Celebrated with festivities in Chinatown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Imagine Film Festival,,,"A two weeks celebration of drive-in, exploitation and cult films, generally of the lower budget variety. Takes up all the screening rooms of the EYE Film Institute in Noord.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imaginefilmfestival.nl,,,,,,,,do,,,,,,,,,,,,,,,,Film,,,,,,,,,,,,,,,,
,,,,,King's Day,,,"Formerly Queen's Day, this national holiday, nominally in celebration of the King's birthday, is difficult to describe to anyone who's never been there. The city turns into one giant mass of orange-dressed people with flea markets, bands playing, and many on-street parties, ranging from small cafes placing a few kegs of beer outside to huge open-air stages hosting world-famous DJs. The Vondelpark is the place where children sell toys and perform. An experience you'll never forget. Normally held on April 27, but if that is a Sunday, it is celebrated one day earlier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,KunstRAI,,,"A modern art fair in the RAI exhibition and conference center. If you want to know what the latest developments are in Dutch galleries, this is where to find them all in one place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.kunstrai.nl,,,,,,,,do,,,,,,,,,,,,,,,,Art,,,,,,,,,,,,,,,,
,,,,,Holland Festival,,,"A performing arts festival that brings together events from all over the world in the fields of music, opera, theater and dance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hollandfestival.nl/en,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Taste of Amsterdam,,,A culinary festival where you can explore the food of famous Amsterdam restaurants and their chefs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.tasteofamsterdam.com,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Open Garden Days,,,"Normally you can see only the front of the canal houses, but during the Open Garden Days you get to go past the entrance and see the green world behind them, often bigger than you would have expected. You can buy one ticket that gives you entry to all participating gardens, and there is a special canal boat to take you from one location to another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.opentuinendagen.nl,,Opentuinendagen,,,,,,do,,,,,,,,,,,,,,,,Historic,,,,,,,,,,,,,,,,
,,,,,Amsterdam Roots Festival,,,A free open-air festival with music from non-Western countries accompanied by paid film and theater performances in the surrounding theaters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://amsterdamroots.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Julidans,,,"International contemporary dance festival, always showing the latest developments in modern dance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.julidans.nl/,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Vondelpark Openluchttheater,,,"This free festival offers many different performances every day. Go to the open air theater just by the fountain and let the entertainment do the work. From cabaret to drama to concerts to dance, there is something for everyone here and for all ages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.openluchttheater.nl/,,,,,,,,do,,,,,,,,,,,,,,,,Entertainment,,,,,,,,,,,,,,,,
,,,,,Amsterdam International Fashion Week,,,"Twice a year, this event presents young and upcoming fashion in Europe with a focus on Dutch design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdamfashionweek.com/en,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Robeco Summer Nights,,,Affordable classical music concerts taking place at the prestigious Concertgebouw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.concertgebouw.nl/en/robeco-summernights,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,De Parade,,,"Circus turns vintage, on an old-fashioned fairground with many different tents, the performers are each trying to attract their public, featuring spectacles of dance, theater, magic, art, animation and music.",,,,,,,,,,,,Martin Luther King Park,,,,,,,,,,,,,,,,,,http://www.deparade.nl/,,,,,,,,do,,,,,,,,,,,,,,,,Entertainment,,,,,,,,,,,,,,,,
,,,,,Amsterdam Pride,,,"Amsterdam's gay pride on the first weekend in August. One of the biggest festivals in Amsterdam with parties, performances, workshops and a boat parade on the Prinsengracht on Saturday afternoon which is always well worth seeing by gays and straights alike.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdampride.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Prinsengrachtconcert and Grachtenfestival,,,"Third weekend of August each year. A free open-air classical music concert is held every year on a stage in the middle of the Prinsengracht. If you have a little boat, join the crowds and make sure to bring a bottle of rose wine or prosecco for full enjoyment. It takes place during the Grachtenfestival, a 10 days classical music festival with about 150 concerts throughout the city, but is organized independently from it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.grachtenfestival.nl/,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Sail Amsterdam,,,"Tall-ships from all over the world come to visit the Amsterdam harbor every five years, the next one is in 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sail.nl/en/,,,,,,,,do,,,,,,,,,,,,,,,,Historic,,,,,,,,,,,,,,,,
,,,,,Uitmarkt,,,"The opening of the cultural season in the last weekend of August, it offers a taste of the year to come with 30 min performances at different theaters, an extensive book market and many open-air concerts. All free.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uitmarkt.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Jordaan Festival,,,"A big inner city street festival celebrating the diversity of this former working class district. Features can include drum bands, a children's festival, opera and cabaret, a ''boules'' competition, a flea market and an auction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.jordaanfestival.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Robodock,,,"A unique festival presenting contemporary art shows in the huge, old NDSM shipyard depot in Noord. The atmosphere is rough, industrial, experimental. A lot of loud music, fire, smoke, noise and heavy machinery are usually elements of these performances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://robodock.org/,,,,,,,,do,,,,,,,,,,,,,,,,Art,,,,,,,,,,,,,,,,
,,,,,National Restaurant Week,,,"Two times a year, participating restaurants offer a full 3 course dinner for a mere €25 (excluding drinks), allowing you to try a different restaurant for a change or a chance to have an affordable meal at one of the famous five-star restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.restaurantweek.nl/lang/en,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Amsterdam Dance Event,,,"Usually held during the second last weekend in October, this electronic music annual festival gathers cream of the crop faces from the house and techno scenes. Buy your tickets in advance to avoid paying more at the door and having to queue for hours. Besides partying for four nights in a row, the conference offers workshops, seminars, presentations etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdam-dance-event.nl,,,,,,,,do,,,,Price: N/A,,,,,,,,,,,,Entertainment,,,,,,,"I'm sorry, but since the price is not given, I cannot categorize the place as cheap, medium, or expensive. If you provide me with the price range, I can assist you further.",,,,,,,,,
,,,,,Museumnacht,,,"Long before the film came out, this ""night at the museum"" attracts new crowds at the traditional Amsterdam museums with special performances at unusual locations. Do as the locals do and hire a bike to go from one place to the other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://museumnachtamsterdam.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,PAN Amsterdam,,,Third week of November. The biggest national art and antiques fair in the Netherlands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pan.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,International Documentary Film Festival (IDFA),,,The largest festival in the world for documentary films with screenings of about 200 documentary films and videos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.idfa.nl,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Museumplein,,,"Amsterdam celebrates holy day of Sint Nicholaas on December 5th as Christmas in the Dam Square also known as ""Christmas Square"". However, on the Day of Christmas, i.e. December 25th, the people of Amsterdam are also getting used to celebrating Christmas along with Anglo-Americans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,Cultural,,,,,,,,,,,,,,,,
,,,,,Universiteit van Amsterdam,,,"Founded as the Athenaeum Illustre in 1632, in 1877 it became the University of Amsterdam.  With about 25,000 students, the UvA is on three separate campuses in the city center and many smaller sites scattered over Amsterdam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uva.nl,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Volksuniversiteit,,,"Despite the name, it is not a university, but a venerable institute for public education. Among the many courses are Dutch language courses for foreigners.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.volksuniversiteitamsterdam.nl/,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Vrije Universiteit,,,"Founded in 1880, the VU campus is located southwest of the city centre, and approximately 20 minutes away by bicycle. It is the only Protestant general university in the Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.vu.nl,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Spoke,,,"An English magazine featuring Amsterdam's daily life, its ambiance and trends.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdam-spoke.com,,,,,,,,other,,,,Price: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Time Out Amsterdam,,,The monthly bible for what is going on in town. Can be purchased all over town.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.timeoutamsterdam.nl,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Uitkrant,,,"A free monthly magazine, listing all concerts, classical, jazz, pop etc., exhibitions, museums and anything cultural to do in Amsterdam. It can be picked up at many spots in the city, e.g. at the Uitburo at the Leidseplein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdamsuitburo.nl/extra/uitkrant,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Basiliek van de Heilige Nicolaas,,,,,,,,,,,,,,,Prins Hendrikkade 73,,,,,,,,,,,,,,"Eucharist Su 10:30 (Dutch), 13:00 (Spanish), Low Mass M W Th Sa 12:30 (Dutch), Tu 12:30 (English), F 12:30 (Spanish)",,,,http://www.nicolaas-parochie.nl,,,,,,,,other,+31 20 624-8749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Begijnhofkapel,,,"Roman Catholic chapel at the Begijnhof, officially known as the HH. Johannes en Ursulakapel.",,,,,,,,,,,,Begijnhof 29,,,,,,,,,,,,,,"Eucharist M-F 09:00 and 17:00, Sa 09:00, Su 10:00 (all Dutch) and 11:15 (French)",,,,http://www.begijnhofamsterdam.nl/,,,,,,,,other,+31 20 622-1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,De Krijtberg,,,Officially St. Franciscus Xaveriuskerk.,,,,,,,,,,,,Singel 448,,,,,,,,,,,,,,"Eucharist M-Sa 12:30, 17:45, Su 12:30, 17:15 (all Dutch), High Mass Su 09:30, 11:00 (Latin)",,,,http://www.krijtberg.nl/,,,,,,,,other,+31 20 623-1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,De Papegaai,,,Officially the HH. Petrus en Pauluskerk.,,,,,,,,,,,,Kalverstraat 58,,,,,,,,,,,,,,"Low Mass M-Sa 10:30 (Dutch), High Mass Su 10:30 (Latin), 12:15 (Latin)",,,,http://www.nicolaas-parochie.nl,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,English Reformed Church,,,A Reformed Church led by a (Presbyterian) Church of Scotland minister. An English speaking congregation at the Begijnhof.,,,,,,,,,,,,Begijnhof 48,,,,,,,,,,,,,,Sunday worship at 10:30 (English),,,,http://www.ercadam.nl,,Engelse Hervormde Kerk,,,,,,other,+31 20 624-9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The Lady of All Nations,,,Mass times are subject to change. Call to be certain.,,,,,,,,,,,,Diepenbrockstraat 3,,,,,,,,,,,,,,"Holy Mass M W F Sa 12:15, Tu: 07:15, Th 18:30, Su 9:30, 11:15 (all Dutch)",,,,,,,,,,,,other,+31 20 662-0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onze Lieve Vrouwekerk,,,,,,,,,,,,,,,Keizersgracht 220,,,,,,,,,,,,,,"Holy Mass Sa 19:00 (Dutch), Su 11:15 (Dutch), 18:00 (English)",,,,http://www.amsterdam.onze-lieve-vrouw.nl/,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oud-Katholieke Kerk Amsterdam,,,A Dutch denomination in communion with the Church of England (Anglican).,,,,,,,,,,,,Ruysdaelstraat 39,,,,,,,,,,,,,,Eucharist Su 10:00 (Dutch),,,,,,,,,,,,other,+31 20 662-8313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Parish of the Blessed Trinity,,,,,,,,,,,,,,,Zaaiersweg 180,,,,,,,,,,,,,,Mass Su 10:30 and 12:00 (both English),,,,http://www.blessedtrinity.nl/,,,,,,,,other,+31 20 465-2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bijlmermonument,,,"In 1992 a Boeing 747F jumbo freighter crashed into two flats in the Bijlmer. This is a monument to the people on the ground who died or lost their houses in the disaster. 39 residents are known to have died, but due to the large number of unregistered illegal immigrants living in the cellars of the flats at the time, which were completely incinerated in the crash, it is possible that more died than could officially be accounted for. The monument was designed by architect Herman Hertzberger and is built around a tree that survived the crash, with the names of the known victims and mosaics laid by survivors. The foundations of the destroyed buildings are also still visible.",,,,,,,,,,,,"Nellesteinplad, Amsterdam-Zuidoost",,,,,,,,,,,,,,,,,,http://www.buitenbeeldinbeeld.nl/Amsterdam_ZO/Bijlmermonument.htm,,,,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam ArenA,,,"The Amsterdam ArenA, built from 1993 to 1996 and with a capacity of 51,628 seats during sports matches, is home to the most successful football club in the Netherlands, Ajax. The arena can hold up to 68,000 people during concerts and regularly holds popular music events. In past many well known artists have performed here.Ajax offers multiple daily tours through the Amsterdam ArenA stadium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.amsterdamarena.nl/tours.htm,,,,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Heineken Music Hall,,,"Large-scale music venue with plenty of international stars having performed here. More ""headliners"" are booked in Amsterdam for the Heineken Music Hall than any other venue. Best reached by train r metro (station Amsterdam Bijlmer ArenA).",,,,,,,,,,,,De Corridor 9,,,,,,,,,,,,,,,,,,http://www.heineken-music-hall.nl/,,,,,,,,do,+31 900 687 42 42 (Dutch phones only),,,,,,,,,,,,,,,Entertainment,,,,,,,,,,,,,,,,
,,,,,Pathé,,,"One of the largest cinemas of the country, and it also has IMAX movies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,Cinema,,,,,,,,,,,,,,,,
,,,,,Gaasperpark,,,"Recreational area and nature reserve with a lake and water-sports centre. The centre offers facilities for canoeing, swimming, rowing, sailing and a surfing school. Explore the park (5 km around the lake) by foot, bicycle or horseback. On the edge of the park is the Gaasper Camping campsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,Park,,,,,,,,,,,,,,,,
